fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD01637	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ112-F9		EXT00020		F		9		0.2		ILLUMINA-DNA-PREP.V2	LIB-MJ130-F9		LIB00020		F		9		2.95		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ130-F9_01		LIB-MJ130-F9_01.fastq.gz	47026308	29988234	35107116	1242469	853740	0	11065452	0	7100972508	6862380800	6525084952	4354635804	4301988546	4153846026	1535891	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD01638	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ113-E8		EXT00021		E		8		61.7		ILLUMINA-DNA-PREP.V2	LIB-MJ131-E8		LIB00021		E		8		1.77		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-E8_01		LIB-MJ131-E8_01.fastq.gz	34122314	26083612	28783676	203641	914072	4	4424562	0	5152469414	4966427067	4699797148	3900872743	3841702889	3689060247	261652	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01639	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ119-D10		EXT00027		D		10		19.69		ILLUMINA-DNA-PREP.V2	LIB-MJ138-D10		LIB00027		D		10		1.33		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ138-D10_03		LIB-MJ138-D10_03.fastq.gz	32374632	26390624	27336938	688346	824264	0	4213430	0	4888569432	4718695361	4474153594	3929165606	3875146644	3731427294	860071	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01640	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ112-A3		EXT00020		A		3		57.9		ILLUMINA-DNA-PREP.V2	LIB-MJ130-A3		LIB00020		A		3		1.51		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ130-A3_01		LIB-MJ130-A3_01.fastq.gz	26435696	20458416	22816904	342173	635926	0	2982866	0	3991790096	3864986649	3676448870	3053656847	3014253243	2906804464	420029	151	151	149	149	1	0.9	1	1	0.1	0.6	0.6	151
MFD01641	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ100-H7		EXT00018		H		7		21.44		ILLUMINA-DNA-PREP.V2	LIB-MJ110-H7		LIB00018		H		7		0.25		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ110-H7_04		LIB-MJ110-H7_04.fastq.gz	37750216	29346228	29932166	651116	1148236	94	6669720	0	5700282616	5457743086	5127873029	4344734943	4273483638	4089099785	777549	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01642	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ113-D10		EXT00021		D		10		67.15		ILLUMINA-DNA-PREP.V2	LIB-MJ131-D10		LIB00021		D		10		1.05		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-D10_01		LIB-MJ131-D10_01.fastq.gz	26970894	20864492	22871880	146732	752942	10	3346062	0	4072604994	3929322050	3720855454	3122843699	3076749806	2956560451	192310	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01644	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ119-E5		EXT00027		E		5		14.8		ILLUMINA-DNA-PREP.V2	LIB-MJ138-E5		LIB00027		E		5		2.29		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ138-E5_03		LIB-MJ138-E5_03.fastq.gz	27931462	22689154	23282266	786721	576202	2	4072992	0	4217650762	4062102673	3829284531	3370752614	3314481407	3169404053	994338	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	241
MFD01645	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ116-C2		EXT00024		C		2		14.68		ILLUMINA-DNA-PREP.V2	LIB-MJ134-C2		LIB00024		C		2		1.65		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-C2_03		LIB-MJ134-C2_03.fastq.gz	24961550	19756484	20056148	311128	863230	56	4042116	0	3769194050	3602130071	3368752070	2940421424	2887301317	2752620193	372352	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01646	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ119-F11		EXT00027		F		11		3.25		ILLUMINA-DNA-PREP.V2	LIB-MJ138-F11		LIB00027		F		11		1.21		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ138-F11_03		LIB-MJ138-F11_03.fastq.gz	39863352	31427190	32470944	1054310	1169036	0	6223372	0	6019366152	5777942649	5444300533	4657998508	4584407247	4393622995	1310748	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01647	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ113-H4		EXT00021		H		4		0.4		ILLUMINA-DNA-PREP.V2	LIB-MJ131-H4		LIB00021		H		4		0.28		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-H4_01		LIB-MJ131-H4_01.fastq.gz	44138804	28846792	32467388	822997	819304	4	10852108	0	6664959404	6438422117	6124968048	4209911969	4158692387	4013130857	1017970	151	151	145	145	1	0.9	1	1	0.1	0.5	0.5	151
MFD01648	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ247-H1	EXT-MJ396-G11	EXT00088	REPREP6	H	G	1	11	0.02	0.02	ILLUMINA-DNA-PREP.V2	LIB-MJ262-H1	LIB-MJ407-G11	LIB00088	REPREP6	H	G	1	11	0.02	0.840445094	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ262-H1_03	LIB-MJ407-G11_04	LIB-MJ262-H1_03_v_LIB-MJ407-G11_04.fastq.gz	33377034	23935784	24917726	342036	1183948	20	7275340	0	5039932134	4796513900	4469790852	3551583933	3480470288	3305011178	424986	151	151	142	142	1	0.9	1	0.9	0.1	0.6	0.6	75.5
MFD01649	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ116-A5		EXT00024		A		5		0.33		ILLUMINA-DNA-PREP.V2	LIB-MJ134-A5		LIB00024		A		5		0.39		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-A5_03		LIB-MJ134-A5_03.fastq.gz	38459724	28518482	29923794	731672	1110002	72	7425856	0	5807418324	5561124415	5225787992	4207804834	4140569984	3962986521	868247	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD01650	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ121-D5		EXT00029		D		5		46.61		ILLUMINA-DNA-PREP.V2	LIB-MJ140-D5		LIB00029		D		5		2.07		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ140-D5_02		LIB-MJ140-D5_02.fastq.gz	28883918	23524052	24189324	918002	546244	158	4148192	0	4361471618	4205426918	3971009473	3499619642	3440304380	3290593613	1176761	151	151	148	149	1	0.9	1	0.9	0	0.6	0.6	252
MFD01651	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ122-D5		EXT00030		D		5		54.17		ILLUMINA-DNA-PREP.V2	LIB-MJ145-D5		LIB00030		D		5		2.96		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ145-D5_01		LIB-MJ145-D5_01.fastq.gz	25513566	19543444	20109452	481889	699540	106	4704468	0	3852548466	3691056910	3477093311	2896051827	2850780305	2734496821	617492	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01652	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ111-A11		EXT00019		A		11		6.5		ILLUMINA-DNA-PREP.V2	LIB-MJ129-A11		LIB00019		A		11		0.92		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ129-A11_02		LIB-MJ129-A11_02.fastq.gz	25065346	18942448	20229110	497986	547776	6	4288454	0	3784867246	3630914871	3423928283	2810683256	2766835660	2650343791	720849	151	151	148	148	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01653	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ115-G4		EXT00023		G		4		1.61		ILLUMINA-DNA-PREP.V2	LIB-MJ133-G4		LIB00023		G		4		0.69		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ133-G4_03		LIB-MJ133-G4_03.fastq.gz	20380066	16028140	16253770	302792	623902	58	3502336	0	3077389966	2951018727	2777402922	2376821392	2339608295	2241723556	363339	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01654	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ112-C8		EXT00020		C		8		29.5		ILLUMINA-DNA-PREP.V2	LIB-MJ130-C8		LIB00020		C		8		3.57		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ130-C8_01		LIB-MJ130-C8_01.fastq.gz	34736598	25887982	29842566	527075	753582	0	4140450	0	5245226298	5077604748	4823445167	3860756014	3807529619	3664327744	647884	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	251
MFD01655	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ115-B5		EXT00023		B		5		41.01		ILLUMINA-DNA-PREP.V2	LIB-MJ133-B5		LIB00023		B		5		0.87		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ133-B5_03		LIB-MJ133-B5_03.fastq.gz	19153986	15584810	15815464	149954	655032	60	2683430	0	2892251886	2774619846	2605328831	2327481225	2288360514	2188312116	183302	151	151	149	149	1	0.9	1	0.9	0	0.6	0.6	151
MFD01656	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ114-C6		EXT00022		C		6		5.15		ILLUMINA-DNA-PREP.V2	LIB-MJ132-C6		LIB00022		C		6		1.5		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ132-C6_03		LIB-MJ132-C6_03.fastq.gz	42097730	28497150	36801574	261390	715732	0	4580424	0	6356757230	6186575926	5917600107	4256322695	4202504114	4056989363	340699	151	151	149	149	1	0.9	1	1	0.2	0.6	0.6	151
MFD01657	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ116-D4		EXT00024		D		4		8.1		ILLUMINA-DNA-PREP.V2	LIB-MJ134-D4		LIB00024		D		4		1.47		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-D4_03		LIB-MJ134-D4_03.fastq.gz	22343620	17904586	18199998	232807	714390	66	3429166	0	3373886620	3233134311	3036722092	2667835167	2623381825	2508701289	279702	151	151	149	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01658	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ113-G10		EXT00021		G		10		69.68		ILLUMINA-DNA-PREP.V2	LIB-MJ131-G10		LIB00021		G		10		1.25		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-G10_01		LIB-MJ131-G10_01.fastq.gz	32830632	25353882	27430622	238461	727078	6	4672926	0	4957425432	4777202300	4502926571	3785089905	3719705984	3554272891	303877	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01659	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ111-A4		EXT00019		A		4		66.27		ILLUMINA-DNA-PREP.V2	LIB-MJ129-A4		LIB00019		A		4		2.7		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ129-A4_02		LIB-MJ129-A4_02.fastq.gz	23822188	18489874	19786874	186049	639760	0	3395554	0	3597150388	3461089355	3259115440	2761686728	2715002338	2596041336	236029	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01660	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ115-F11		EXT00023		F		11		5.04		ILLUMINA-DNA-PREP.V2	LIB-MJ133-F11		LIB00023		F		11		1.02		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ133-F11_03		LIB-MJ133-F11_03.fastq.gz	31467070	24145748	24550336	458428	1203202	88	5713444	0	4751527570	4533796624	4245797060	3581686402	3520686777	3364197122	549122	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01661	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ113-G3	EXT-MJ397-B6	EXT00021	REPREP7	G	B	3	6	0.03	0.01	ILLUMINA-DNA-PREP.V2	LIB-MJ131-G3	LIB-MJ408-B6	LIB00021	REPREP7	G	B	3	6	0.02	0.01	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-G3_01	LIB-MJ408-B6_04	LIB-MJ131-G3_01_v_LIB-MJ408-B6_04.fastq.gz	5117184	2699120	3584172	95834	90042	0	1442970	0	772694784	746858829	713551736	391368428	387117048	375215141	119301	151	151	143.5	144	1	0.9	1	1	0.1	0.6	0.6	0
MFD01662	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ112-A1	EXT-MJ391-B10	EXT00020	REPREP1	A	B	1	10	41.7	23.33	ILLUMINA-DNA-PREP.V2	LIB-MJ130-A1	LIB-MJ402-B10	LIB00020	REPREP1	A	B	1	10	0.29	1.407092097	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ130-A1_01	LIB-MJ402-B10_04	LIB-MJ130-A1_01_v_LIB-MJ402-B10_04.fastq.gz	26684210	19338984	21661722	673910	444024	0	4578464	0	4029315710	3908597374	3729409479	2821494654	2789624417	2697844987	824691	151	151	148	148	1	0.9	1	0.9	0.3	0.6	0.6	181.5
MFD01663	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ111-E8		EXT00019		E		8		91.01		ILLUMINA-DNA-PREP.V2	LIB-MJ129-E8		LIB00019		E		8		4.83		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ129-E8_02		LIB-MJ129-E8_02.fastq.gz	29008372	22458206	24170894	208463	823132	8	4014338	0	4380264172	4211432816	3974149606	3358156227	3305043513	3168548187	268631	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01664	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ116-A2		EXT00024		A		2		0.79		ILLUMINA-DNA-PREP.V2	LIB-MJ134-A2		LIB00024		A		2		0.91		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-A2_03		LIB-MJ134-A2_03.fastq.gz	35339556	26756252	27553184	523424	960506	70	6825796	0	5336272956	5127880427	4838953458	3951509358	3893626291	3738453284	634907	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD01665	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ246-B12	EXT-MJ398-B6	EXT00087	REPREP8	B	B	12	6	1.99	0.69	ILLUMINA-DNA-PREP.V2	LIB-MJ261-B12	LIB-MJ409-B6	LIB00087	REPREP8	B	B	12	6	0.03	0.05	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ261-B12_01	LIB-MJ409-B6_01	LIB-MJ261-B12_01_v_LIB-MJ409-B6_01.fastq.gz	21862398	11339518	11778176	922636	502896	6	9581320	0	3301222098	3108493224	2901324665	1590717726	1565478389	1499144650	1153506	151	151	138.5	139	0.9	0.9	1	1	0	0.6	0.6	151
MFD01666	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ248-D11		EXT00089		D		11		9.72		ILLUMINA-DNA-PREP.V2	LIB-MJ263-D11		LIB00089		D		11		0.42		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ263-D11_04		LIB-MJ263-D11_04.fastq.gz	28761040	21292054	22397760	389558	704528	92	5658660	0	4342917040	4177196162	3936730195	3149276969	3098056649	2965018503	483118	151	151	148	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD01667	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ118-B2		EXT00026		B		2		1.43		ILLUMINA-DNA-PREP.V2	LIB-MJ137-B2		LIB00026		B		2		0.67		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ137-B2_02		LIB-MJ137-B2_02.fastq.gz	31661230	23449930	23944884	1266672	1001150	30	6715166	0	4780845730	4549080681	4257381505	3425689828	3369104664	3221619604	1544694	151	151	146	146	1	0.9	1	0.9	0	0.5	0.5	151
MFD01668	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ120-D1		EXT00028		D		1		77.68		ILLUMINA-DNA-PREP.V2	LIB-MJ139-D1		LIB00028		D		1		1.42		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ139-D1_01		LIB-MJ139-D1_01.fastq.gz	23643570	19148006	19901558	547640	527582	48	3214382	0	3570179070	3449564798	3269698818	2838450274	2799005690	2690723465	654471	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01669	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ116-C12	EXT-MJ393-E8	EXT00024	REPREP3	C	E	12	8	5.99	3.14	ILLUMINA-DNA-PREP.V2	LIB-MJ134-C12	LIB-MJ404-E8	LIB00024	REPREP3	C	E	12	8	0.05	0.1	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-C12_03	LIB-MJ404-E8_03	LIB-MJ134-C12_03_v_LIB-MJ404-E8_03.fastq.gz	9461974	6607798	6724478	152633	574722	4	2162770	0	1428758074	1335020041	1221182450	980794669	956238151	899289166	194970	151	151	146.5	146.5	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD01670	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ115-H10		EXT00023		H		10		6.8		ILLUMINA-DNA-PREP.V2	LIB-MJ133-H10		LIB00023		H		10		0.87		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ133-H10_03		LIB-MJ133-H10_03.fastq.gz	22737200	17666150	17903468	296947	879720	42	3953970	0	3433317200	3277831807	3065957921	2623026803	2576780594	2459201672	353839	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01671	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ112-G2		EXT00020		G		2		6.7		ILLUMINA-DNA-PREP.V2	LIB-MJ130-G2		LIB00020		G		2		1.4		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ130-G2_01		LIB-MJ130-G2_01.fastq.gz	29311840	22160812	25106490	476940	643184	0	3562166	0	4426087840	4282723203	4067593390	3297636072	3252962722	3130507442	588425	151	151	148	148	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01672	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ120-C11		EXT00028		C		11		32.57		ILLUMINA-DNA-PREP.V2	LIB-MJ139-C11		LIB00028		C		11		2.29		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ139-C11_01		LIB-MJ139-C11_01.fastq.gz	23484962	19434522	20148554	427299	534826	58	2801524	0	3546229262	3434655748	3262464526	2894804744	2856635190	2751379849	514570	151	151	148	148	1	0.9	1	1	0	0.6	0.6	151
MFD01673	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ117-C7		EXT00025		C		7		3.05		ILLUMINA-DNA-PREP.V2	LIB-MJ135-C7		LIB00025		C		7		0.83		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ135-C7_04		LIB-MJ135-C7_04.fastq.gz	21999186	17353672	17629180	395835	574208	68	3795730	0	3321877086	3192393734	3001108153	2574652833	2531153930	2420029477	491648	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01674	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ115-E11		EXT00023		E		11		2.92		ILLUMINA-DNA-PREP.V2	LIB-MJ133-E11		LIB00023		E		11		0.55		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ133-E11_03		LIB-MJ133-E11_03.fastq.gz	27827452	21790654	22195822	443671	824598	66	4806966	0	4201945252	4028628938	3792708123	3228205412	3178168490	3046025678	527684	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01675	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ116-B2		EXT00024		B		2		16.19		ILLUMINA-DNA-PREP.V2	LIB-MJ134-B2		LIB00024		B		2		1.08		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-B2_03		LIB-MJ134-B2_03.fastq.gz	23799806	18436022	18754824	315577	892426	56	4152500	0	3593770706	3431551311	3213491649	2737942027	2691127737	2571148592	372306	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01676	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ113-B6		EXT00021		B		6		1.74		ILLUMINA-DNA-PREP.V2	LIB-MJ131-B6		LIB00021		B		6		0.19		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ131-B6_01		LIB-MJ131-B6_01.fastq.gz	14921118	11823060	12434738	206526	316660	4	2169716	0	2253088818	2168593673	2039157632	1759978618	1728285912	1647679257	260892	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	0
MFD01677	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ119-H8		EXT00027		H		8		2.31		ILLUMINA-DNA-PREP.V2	LIB-MJ138-H8		LIB00027		H		8		0.96		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ138-H8_03		LIB-MJ138-H8_03.fastq.gz	33493486	26491062	27414128	902242	844224	4	5235130	0	5057516386	4868247115	4615695213	3922021036	3868995944	3727589816	1139721	151	151	147	148	1	0.9	1	1	0	0.6	0.6	151
MFD01678	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ122-C1		EXT00030		C		1		1.21		ILLUMINA-DNA-PREP.V2	LIB-MJ145-C1		LIB00030		C		1		1.36		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ145-C1_01		LIB-MJ145-C1_01.fastq.gz	34513240	26027762	26695566	732319	904494	130	6913050	0	5211499240	4992304825	4707247045	3849129591	3790440440	3638677192	939807	151	151	147	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01679	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ111-H10		EXT00019		H		10		72.15		ILLUMINA-DNA-PREP.V2	LIB-MJ129-H10		LIB00019		H		10		1.19		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ129-H10_02		LIB-MJ129-H10_02.fastq.gz	22416590	17815116	18954198	185062	510890	10	2951492	0	3384905090	3269809398	3090892462	2658441779	2616587678	2507094484	232745	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01680	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ116-H7		EXT00024		H		7		9.01		ILLUMINA-DNA-PREP.V2	LIB-MJ134-H7		LIB00024		H		7		1.24		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ134-H7_03		LIB-MJ134-H7_03.fastq.gz	31053482	24731644	25203084	376139	908724	80	4941594	0	4689075782	4502514458	4236651435	3677940180	3618737528	3464083742	450261	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01681	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ111-E10		EXT00019		E		10		4.45		ILLUMINA-DNA-PREP.V2	LIB-MJ129-E10		LIB00019		E		10		2.34		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ129-E10_02		LIB-MJ129-E10_02.fastq.gz	31125556	23947112	25997726	204669	865160	6	4262664	0	4699958956	4523015334	4261992959	3579945974	3520310044	3367876929	262556	151	151	149	149	1	0.9	1	0.9	0.1	0.6	0.6	151
MFD01682	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ114-C9		EXT00022		C		9		30.3		ILLUMINA-DNA-PREP.V2	LIB-MJ132-C9		LIB00022		C		9		1.52		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ132-C9_03		LIB-MJ132-C9_03.fastq.gz	33196678	23722664	28835336	150629	637456	2	3723884	0	5012698378	4863850097	4635980535	3548047711	3499148616	3370500305	195731	151	151	149	149	1	0.9	1	0.9	0.2	0.6	0.6	151
MFD01683	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ114-B11		EXT00022		B		11		0.98		ILLUMINA-DNA-PREP.V2	LIB-MJ132-B11		LIB00022		B		11		0.33		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ132-B11_03		LIB-MJ132-B11_03.fastq.gz	35329678	24589246	30220592	389030	477074	0	4632012	0	5334781378	5191673669	4972293497	3650334115	3607824428	3486559386	485919	151	151	148	148	1	0.9	1	1	0.2	0.5	0.5	151
MFD01684	MFD-SEDIMENT	No	PowerSoil-Pro-HT	EXT-MJ247-H3		EXT00088		H		3		5.29		ILLUMINA-DNA-PREP.V2	LIB-MJ262-H3		LIB00088		H		3		0.22		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ262-H3_03		LIB-MJ262-H3_03.fastq.gz	32136896	22427550	23992548	438590	687672	104	7456572	0	4852671296	4678368218	4435050283	3294886558	3251401908	3130730567	542915	151	151	147	146	1	0.9	1	1	0.1	0.6	0.6	151
MFD01685	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ120-A8		EXT00028		A		8		1.76		ILLUMINA-DNA-PREP.V2	LIB-MJ139-A8		LIB00028		A		8		1.34		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ139-A8_01		LIB-MJ139-A8_01.fastq.gz	23636330	19200730	19979180	564123	601392	42	3055716	0	3569085830	3447825814	3268673368	2850131497	2811496778	2705349539	680751	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD01686	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ118-A1		EXT00026		A		1		7.04		ILLUMINA-DNA-PREP.V2	LIB-MJ137-A1		LIB00026		A		1		0.93		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ137-A1_02		LIB-MJ137-A1_02.fastq.gz	31230358	24973866	25320888	865482	949216	34	4960220	0	4715784058	4525939773	4261554885	3688169253	3631639318	3481905081	1030864	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD01687	MFD-SEDIMENT	Yes	PowerSoil-Pro-HT	EXT-MJ118-C4		EXT00026		C		4		1.83		ILLUMINA-DNA-PREP.V2	LIB-MJ137-C4		LIB00026		C		4		0.56		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ137-C4_02		LIB-MJ137-C4_02.fastq.gz	26473130	21100862	21478854	784888	810502	18	4183756	0	3997442630	3835353072	3610272597	3115490906	3067840911	2941222143	931958	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD01688	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ114-G4		EXT00022		G		4		0.44		ILLUMINA-DNA-PREP.V2	LIB-MJ132-G4		LIB00022		G		4		0.36		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ132-G4_03		LIB-MJ132-G4_03.fastq.gz	42188596	28050406	36977498	433801	536144	2	4674952	0	6370477996	6222052544	5983312515	4169229825	4124408052	3999267912	546440	151	151	148	148	1	0.9	1	1	0.2	0.6	0.6	262
