fieldsample_barcode,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_conc,library_method,seq_id
MFD00073,EXT-MJ019-C12,EXT-MJ019-C12,EXT00001,C,12,5.75,PowerSoil-Pro-HT,LIB-MJ050-C12,LIB00001,C,3.64133,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C12_02
MFD00085,EXT-MJ019-C2,EXT-MJ019-C2,EXT00001,C,2,9.93,PowerSoil-Pro-HT,LIB-MJ050-C2,LIB00001,C,3.27294,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C2_02
MFD00046,EXT-MJ019-C4,EXT-MJ019-C4,EXT00001,C,4,26.29,PowerSoil-Pro-HT,LIB-MJ050-C4,LIB00001,C,4.10997,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C4_02
MFD00127,EXT-MJ019-C5,EXT-MJ019-C5,EXT00001,C,5,53.38,PowerSoil-Pro-HT,LIB-MJ050-C5,LIB00001,C,6.1875,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C5_02
MFD00124,EXT-MJ019-C6,EXT-MJ019-C6,EXT00001,C,6,25.98,PowerSoil-Pro-HT,LIB-MJ050-C6,LIB00001,C,6.73132,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C6_02
MFD00144,EXT-MJ019-C7,EXT-MJ019-C7,EXT00001,C,7,8.84,PowerSoil-Pro-HT,LIB-MJ050-C7,LIB00001,C,5.57101,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C7_02
MFD00131,EXT-MJ019-C8,EXT-MJ019-C8,EXT00001,C,8,7.19,PowerSoil-Pro-HT,LIB-MJ050-C8,LIB00001,C,7.18994,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C8_02
MFD00026,EXT-MJ019-C9,EXT-MJ019-C9,EXT00001,C,9,20.92,PowerSoil-Pro-HT,LIB-MJ050-C9,LIB00001,C,7.86407,ILLUMINA-DNA-PREP.V1,LIB-MJ050-C9_02
MFD00060,EXT-MJ019-D1,EXT-MJ019-D1,EXT00001,D,1,6.08,PowerSoil-Pro-HT,LIB-MJ050-D1,LIB00001,D,4.42573,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D1_02
MFD00051,EXT-MJ019-D10,EXT-MJ019-D10,EXT00001,D,10,17.44,PowerSoil-Pro-HT,LIB-MJ050-D10,LIB00001,D,4.85678,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D10_02
MFD00029,EXT-MJ019-D11,EXT-MJ019-D11,EXT00001,D,11,29.55,PowerSoil-Pro-HT,LIB-MJ050-D11,LIB00001,D,4.73398,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D11_02
MFD00102,EXT-MJ019-D2,EXT-MJ019-D2,EXT00001,D,2,63.74,PowerSoil-Pro-HT,LIB-MJ050-D2,LIB00001,D,7.25509,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D2_02
MFD00163,EXT-MJ019-D3,EXT-MJ019-D3,EXT00001,D,3,21.16,PowerSoil-Pro-HT,LIB-MJ050-D3,LIB00001,D,6.07473,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D3_02
MFD00075,EXT-MJ019-D4,EXT-MJ019-D4,EXT00001,D,4,28.63,PowerSoil-Pro-HT,LIB-MJ050-D4,LIB00001,D,4.73649,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D4_02
MFD00066,EXT-MJ019-D5,EXT-MJ019-D5,EXT00001,D,5,27.91,PowerSoil-Pro-HT,LIB-MJ050-D5,LIB00001,D,5.34546,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D5_02
MFD00151,EXT-MJ019-D6,EXT-MJ019-D6,EXT00001,D,6,10.45,PowerSoil-Pro-HT,LIB-MJ050-D6,LIB00001,D,4.58863,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D6_02
MFD00110,EXT-MJ019-D7,EXT-MJ019-D7,EXT00001,D,7,38.8,PowerSoil-Pro-HT,LIB-MJ050-D7,LIB00001,D,6.66617,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D7_02
MFD00001,EXT-MJ019-D8,EXT-MJ019-D8,EXT00001,D,8,19.33,PowerSoil-Pro-HT,LIB-MJ050-D8,LIB00001,D,5.71135,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D8_02
MFD00002,EXT-MJ019-D9,EXT-MJ019-D9,EXT00001,D,9,10.92,PowerSoil-Pro-HT,LIB-MJ050-D9,LIB00001,D,5.09736,ILLUMINA-DNA-PREP.V1,LIB-MJ050-D9_02
MFD00028,EXT-MJ019-E1,EXT-MJ019-E1,EXT00001,E,1,55.7,PowerSoil-Pro-HT,LIB-MJ050-E1,LIB00001,E,4.74651,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E1_02
MFD00006,EXT-MJ019-E10,EXT-MJ019-E10,EXT00001,E,10,36.69,PowerSoil-Pro-HT,LIB-MJ050-E10,LIB00001,E,4.75152,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E10_02
MFD00072,EXT-MJ019-E11,EXT-MJ019-E11,EXT00001,E,11,71.6,PowerSoil-Pro-HT,LIB-MJ050-E11,LIB00001,E,5.22016,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E11_02
MFD00020,EXT-MJ019-E2,EXT-MJ019-E2,EXT00001,E,2,2,PowerSoil-Pro-HT,LIB-MJ050-E2,LIB00001,E,0.67163,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E2_02
MFD00004,EXT-MJ019-E3,EXT-MJ019-E3,EXT00001,E,3,44.92,PowerSoil-Pro-HT,LIB-MJ050-E3,LIB00001,E,5.10989,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E3_02
MFD00162,EXT-MJ019-E4,EXT-MJ019-E4,EXT00001,E,4,35,PowerSoil-Pro-HT,LIB-MJ050-E4,LIB00001,E,3.42581,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E4_02
MFD00050,EXT-MJ019-E5,EXT-MJ019-E5,EXT00001,E,5,10.36,PowerSoil-Pro-HT,LIB-MJ050-E5,LIB00001,E,4.60366,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E5_02
MFD00125,EXT-MJ019-E6,EXT-MJ019-E6,EXT00001,E,6,13.98,PowerSoil-Pro-HT,LIB-MJ050-E6,LIB00001,E,5.66875,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E6_02
MFD00115,EXT-MJ019-E7,EXT-MJ019-E7,EXT00001,E,7,57.17,PowerSoil-Pro-HT,LIB-MJ050-E7,LIB00001,E,6.41055,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E7_02
MFD00117,EXT-MJ019-E8,EXT-MJ019-E8,EXT00001,E,8,47.5,PowerSoil-Pro-HT,LIB-MJ050-E8,LIB00001,E,5.6888,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E8_02
MFD00036,EXT-MJ019-E9,EXT-MJ019-E9,EXT00001,E,9,23.62,PowerSoil-Pro-HT,LIB-MJ050-E9,LIB00001,E,5.31288,ILLUMINA-DNA-PREP.V1,LIB-MJ050-E9_02
MFD00087,EXT-MJ019-F1,EXT-MJ019-F1,EXT00001,F,1,11.89,PowerSoil-Pro-HT,LIB-MJ050-F1,LIB00001,F,4.1225,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F1_02
MFD00012,EXT-MJ019-F11,EXT-MJ019-F11,EXT00001,F,11,15.51,PowerSoil-Pro-HT,LIB-MJ050-F11,LIB00001,F,4.3305,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F11_02
MFD00054,EXT-MJ019-F2,EXT-MJ019-F2,EXT00001,F,2,9.83,PowerSoil-Pro-HT,LIB-MJ050-F2,LIB00001,F,2.1452,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F2_02
MFD00033,EXT-MJ019-F4,EXT-MJ019-F4,EXT00001,F,4,5.87,PowerSoil-Pro-HT,LIB-MJ050-F4,LIB00001,F,4.05233,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F4_02
MFD00044,EXT-MJ019-F5,EXT-MJ019-F5,EXT00001,F,5,16.73,PowerSoil-Pro-HT,LIB-MJ050-F5,LIB00001,F,3.24537,ILLUMINA-DNA-PREP.V1,LIB-MJ050-F5_02
