fieldsample_barcode,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_conc,library_method,seq_id
MFD02318,EXT-MJ099-A4,EXT-MJ099-A4,EXT00017,A,4,1.56,PowerSoil-Pro-HT,LIB-MJ108-A4,LIB00017,A,0.22,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A4_02
MFD01309,EXT-MJ099-A5,EXT-MJ099-A5,EXT00017,A,5,10.24,PowerSoil-Pro-HT,LIB-MJ108-A5,LIB00017,A,0.31,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A5_02
MFD00606,EXT-MJ099-A6,EXT-MJ099-A6,EXT00017,A,6,21.99,PowerSoil-Pro-HT,LIB-MJ108-A6,LIB00017,A,0.46,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A6_02
MFD01057,EXT-MJ099-A7,EXT-MJ099-A7,EXT00017,A,7,5.04,PowerSoil-Pro-HT,LIB-MJ108-A7,LIB00017,A,0.22,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A7_02
MFD01154,EXT-MJ099-A8,EXT-MJ099-A8,EXT00017,A,8,43.85,PowerSoil-Pro-HT,LIB-MJ108-A8,LIB00017,A,0.66,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A8_02
MFD03875,EXT-MJ099-A9,EXT-MJ099-A9,EXT00017,A,9,1.04,PowerSoil-Pro-HT,LIB-MJ108-A9,LIB00017,A,0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ108-A9_02
MFD00579,EXT-MJ099-B1,EXT-MJ099-B1,EXT00017,B,1,40.03,PowerSoil-Pro-HT,LIB-MJ108-B1,LIB00017,B,0.03,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B1_02
MFD02298,EXT-MJ099-B10,EXT-MJ099-B10,EXT00017,B,10,1.06,PowerSoil-Pro-HT,LIB-MJ108-B10,LIB00017,B,0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B10_02
MFD02788,EXT-MJ099-B11,EXT-MJ099-B11,EXT00017,B,11,3.6,PowerSoil-Pro-HT,LIB-MJ108-B11,LIB00017,B,0.09,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B11_02
MFD02811,EXT-MJ099-B12,EXT-MJ099-B12,EXT00017,B,12,23,PowerSoil-Pro-HT,LIB-MJ108-B12,LIB00017,B,0.09,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B12_02
MFD03053,EXT-MJ099-B2,EXT-MJ099-B2,EXT00017,B,2,5.21,PowerSoil-Pro-HT,LIB-MJ108-B2,LIB00017,B,0.09,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B2_02
MFD02778,EXT-MJ099-B3,EXT-MJ099-B3,EXT00017,B,3,15.87,PowerSoil-Pro-HT,LIB-MJ108-B3,LIB00017,B,0.31,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B3_02
MFD02740,EXT-MJ099-B4,EXT-MJ099-B4,EXT00017,B,4,6.22,PowerSoil-Pro-HT,LIB-MJ108-B4,LIB00017,B,0.24,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B4_02
MFD02858,EXT-MJ099-B5,EXT-MJ099-B5,EXT00017,B,5,11.24,PowerSoil-Pro-HT,LIB-MJ108-B5,LIB00017,B,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B5_02
MFD00999,EXT-MJ099-B6,EXT-MJ099-B6,EXT00017,B,6,0.16,PowerSoil-Pro-HT,LIB-MJ108-B6,LIB00017,B,0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B6_02
MFD02827,EXT-MJ099-B7,EXT-MJ099-B7,EXT00017,B,7,7.8,PowerSoil-Pro-HT,LIB-MJ108-B7,LIB00017,B,0.18,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B7_02
MFD00590,EXT-MJ099-B8,EXT-MJ099-B8,EXT00017,B,8,15.74,PowerSoil-Pro-HT,LIB-MJ108-B8,LIB00017,B,0.43,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B8_02
MFD02769,EXT-MJ099-B9,EXT-MJ099-B9,EXT00017,B,9,26.82,PowerSoil-Pro-HT,LIB-MJ108-B9,LIB00017,B,0.41,ILLUMINA-DNA-PREP.V2,LIB-MJ108-B9_02
MFD02849,EXT-MJ099-C1,EXT-MJ099-C1,EXT00017,C,1,0.1,PowerSoil-Pro-HT,LIB-MJ108-C1,LIB00017,C,0.03,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C1_02
MFD01113,EXT-MJ099-C11,EXT-MJ099-C11,EXT00017,C,11,2.02,PowerSoil-Pro-HT,LIB-MJ108-C11,LIB00017,C,0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C11_02
MFD02834,EXT-MJ099-C12,EXT-MJ099-C12,EXT00017,C,12,19,PowerSoil-Pro-HT,LIB-MJ108-C12,LIB00017,C,0.36,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C12_02
MFD02800,EXT-MJ099-C2,EXT-MJ099-C2,EXT00017,C,2,6.88,PowerSoil-Pro-HT,LIB-MJ108-C2,LIB00017,C,0.12,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C2_02
MFD03813,EXT-MJ099-C4,EXT-MJ099-C4,EXT00017,C,4,12.18,PowerSoil-Pro-HT,LIB-MJ108-C4,LIB00017,C,0.25,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C4_02
MFD03870,EXT-MJ099-C5,EXT-MJ099-C5,EXT00017,C,5,21.17,PowerSoil-Pro-HT,LIB-MJ108-C5,LIB00017,C,0.42,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C5_02
MFD00653,EXT-MJ099-C6,EXT-MJ099-C6,EXT00017,C,6,11.77,PowerSoil-Pro-HT,LIB-MJ108-C6,LIB00017,C,0.1,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C6_02
MFD02341,EXT-MJ099-C7,EXT-MJ099-C7,EXT00017,C,7,0.28,PowerSoil-Pro-HT,LIB-MJ108-C7,LIB00017,C,0.2,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C7_02
MFD00893,EXT-MJ099-C8,EXT-MJ099-C8,EXT00017,C,8,19.94,PowerSoil-Pro-HT,LIB-MJ108-C8,LIB00017,C,0.45,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C8_02
MFD01941,EXT-MJ099-C9,EXT-MJ099-C9,EXT00017,C,9,37.97,PowerSoil-Pro-HT,LIB-MJ108-C9,LIB00017,C,0.84,ILLUMINA-DNA-PREP.V2,LIB-MJ108-C9_02
MFD02775,EXT-MJ099-D1,EXT-MJ099-D1,EXT00017,D,1,2.15,PowerSoil-Pro-HT,LIB-MJ108-D1,LIB00017,D,0.03,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D1_02
MFD01027,EXT-MJ099-D10,EXT-MJ099-D10,EXT00017,D,10,10.25,PowerSoil-Pro-HT,LIB-MJ108-D10,LIB00017,D,0.44,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D10_02
MFD02739,EXT-MJ099-D11,EXT-MJ099-D11,EXT00017,D,11,2.46,PowerSoil-Pro-HT,LIB-MJ108-D11,LIB00017,D,0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D11_02
MFD00941,EXT-MJ099-D2,EXT-MJ099-D2,EXT00017,D,2,0.08,PowerSoil-Pro-HT,LIB-MJ108-D2,LIB00017,D,0.11,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D2_02
MFD01126,EXT-MJ099-D3,EXT-MJ099-D3,EXT00017,D,3,2.04,PowerSoil-Pro-HT,LIB-MJ108-D3,LIB00017,D,0.06,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D3_02
MFD02362,EXT-MJ099-D4,EXT-MJ099-D4,EXT00017,D,4,22.18,PowerSoil-Pro-HT,LIB-MJ108-D4,LIB00017,D,0.51,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D4_02
MFD02821,EXT-MJ099-D5,EXT-MJ099-D5,EXT00017,D,5,1.16,PowerSoil-Pro-HT,LIB-MJ108-D5,LIB00017,D,0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D5_02
MFD03865,EXT-MJ099-D6,EXT-MJ099-D6,EXT00017,D,6,15.51,PowerSoil-Pro-HT,LIB-MJ108-D6,LIB00017,D,0.16,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D6_02
MFD02779,EXT-MJ099-D7,EXT-MJ099-D7,EXT00017,D,7,10.98,PowerSoil-Pro-HT,LIB-MJ108-D7,LIB00017,D,0.32,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D7_02
MFD01136,EXT-MJ099-D8,EXT-MJ099-D8,EXT00017,D,8,7.44,PowerSoil-Pro-HT,LIB-MJ108-D8,LIB00017,D,0.03,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D8_02
MFD01096,EXT-MJ099-D9,EXT-MJ099-D9,EXT00017,D,9,7.64,PowerSoil-Pro-HT,LIB-MJ108-D9,LIB00017,D,0.09,ILLUMINA-DNA-PREP.V2,LIB-MJ108-D9_02
MFD02067,EXT-MJ099-E1,EXT-MJ099-E1,EXT00017,E,1,28.38,PowerSoil-Pro-HT,LIB-MJ108-E1,LIB00017,E,0.15,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E1_02
MFD03847,EXT-MJ099-E10,EXT-MJ099-E10,EXT00017,E,10,27.75,PowerSoil-Pro-HT,LIB-MJ108-E10,LIB00017,E,0.52,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E10_02
MFD01109,EXT-MJ099-E11,EXT-MJ099-E11,EXT00017,E,11,5.35,PowerSoil-Pro-HT,LIB-MJ108-E11,LIB00017,E,-0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E11_02
MFD02282,EXT-MJ099-E2,EXT-MJ099-E2,EXT00017,E,2,0.73,PowerSoil-Pro-HT,LIB-MJ108-E2,LIB00017,E,0.17,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E2_02
MFD01045,EXT-MJ099-E3,EXT-MJ099-E3,EXT00017,E,3,9.43,PowerSoil-Pro-HT,LIB-MJ108-E3,LIB00017,E,0.22,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E3_02
MFD01579,EXT-MJ099-E4,EXT-MJ099-E4,EXT00017,E,4,49.82,PowerSoil-Pro-HT,LIB-MJ108-E4,LIB00017,E,0.64,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E4_02
MFD01107,EXT-MJ099-E5,EXT-MJ099-E5,EXT00017,E,5,15.09,PowerSoil-Pro-HT,LIB-MJ108-E5,LIB00017,E,0.05,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E5_02
MFD01052,EXT-MJ099-E6,EXT-MJ099-E6,EXT00017,E,6,1.57,PowerSoil-Pro-HT,LIB-MJ108-E6,LIB00017,E,0.08,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E6_02
MFD02263,EXT-MJ099-E7,EXT-MJ099-E7,EXT00017,E,7,32.96,PowerSoil-Pro-HT,LIB-MJ108-E7,LIB00017,E,0.41,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E7_02
MFD02273,EXT-MJ099-E8,EXT-MJ099-E8,EXT00017,E,8,1.52,PowerSoil-Pro-HT,LIB-MJ108-E8,LIB00017,E,0.15,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E8_02
MFD02808,EXT-MJ099-E9,EXT-MJ099-E9,EXT00017,E,9,5.15,PowerSoil-Pro-HT,LIB-MJ108-E9,LIB00017,E,0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ108-E9_02
MFD02269,EXT-MJ099-F1,EXT-MJ099-F1,EXT00017,F,1,0.83,PowerSoil-Pro-HT,LIB-MJ108-F1,LIB00017,F,0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F1_02
MFD03873,EXT-MJ099-F11,EXT-MJ099-F11,EXT00017,F,11,0.47,PowerSoil-Pro-HT,LIB-MJ108-F11,LIB00017,F,-0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F11_02
MFD02794,EXT-MJ099-F2,EXT-MJ099-F2,EXT00017,F,2,8.87,PowerSoil-Pro-HT,LIB-MJ108-F2,LIB00017,F,0.29,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F2_02
MFD01077,EXT-MJ099-F4,EXT-MJ099-F4,EXT00017,F,4,3.73,PowerSoil-Pro-HT,LIB-MJ108-F4,LIB00017,F,0.15,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F4_02
MFD01303,EXT-MJ099-F5,EXT-MJ099-F5,EXT00017,F,5,66.14,PowerSoil-Pro-HT,LIB-MJ108-F5,LIB00017,F,0.82,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F5_02
MFD01269,EXT-MJ099-F6,EXT-MJ099-F6,EXT00017,F,6,12.27,PowerSoil-Pro-HT,LIB-MJ108-F6,LIB00017,F,0.24,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F6_02
MFD01094,EXT-MJ099-F7,EXT-MJ099-F7,EXT00017,F,7,33.09,PowerSoil-Pro-HT,LIB-MJ108-F7,LIB00017,F,0.77,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F7_02
MFD01125,EXT-MJ099-F8,EXT-MJ099-F8,EXT00017,F,8,10.78,PowerSoil-Pro-HT,LIB-MJ108-F8,LIB00017,F,0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F8_02
MFD02807,EXT-MJ099-F9,EXT-MJ099-F9,EXT00017,F,9,17.04,PowerSoil-Pro-HT,LIB-MJ108-F9,LIB00017,F,0.49,ILLUMINA-DNA-PREP.V2,LIB-MJ108-F9_02
MFD01247,EXT-MJ099-G1,EXT-MJ099-G1,EXT00017,G,1,0.85,PowerSoil-Pro-HT,LIB-MJ108-G1,LIB00017,G,0,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G1_02
MFD00619,EXT-MJ099-G10,EXT-MJ099-G10,EXT00017,G,10,10.24,PowerSoil-Pro-HT,LIB-MJ108-G10,LIB00017,G,0.1,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G10_02
MFD02757,EXT-MJ099-G11,EXT-MJ099-G11,EXT00017,G,11,0.15,PowerSoil-Pro-HT,LIB-MJ108-G11,LIB00017,G,0,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G11_02
MFD03866,EXT-MJ099-G2,EXT-MJ099-G2,EXT00017,G,2,1.09,PowerSoil-Pro-HT,LIB-MJ108-G2,LIB00017,G,0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G2_02
MFD00751,EXT-MJ099-G3,EXT-MJ099-G3,EXT00017,G,3,0.73,PowerSoil-Pro-HT,LIB-MJ108-G3,LIB00017,G,0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G3_02
MFD01102,EXT-MJ099-G4,EXT-MJ099-G4,EXT00017,G,4,46.47,PowerSoil-Pro-HT,LIB-MJ108-G4,LIB00017,G,0.7,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G4_02
MFD02796,EXT-MJ099-G5,EXT-MJ099-G5,EXT00017,G,5,7.68,PowerSoil-Pro-HT,LIB-MJ108-G5,LIB00017,G,0.16,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G5_02
MFD02815,EXT-MJ099-G6,EXT-MJ099-G6,EXT00017,G,6,1.08,PowerSoil-Pro-HT,LIB-MJ108-G6,LIB00017,G,0.05,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G6_02
MFD01344,EXT-MJ099-G7,EXT-MJ099-G7,EXT00017,G,7,14.86,PowerSoil-Pro-HT,LIB-MJ108-G7,LIB00017,G,0.25,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G7_02
MFD02829,EXT-MJ099-G8,EXT-MJ099-G8,EXT00017,G,8,4.38,PowerSoil-Pro-HT,LIB-MJ108-G8,LIB00017,G,0.14,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G8_02
MFD03822,EXT-MJ099-G9,EXT-MJ099-G9,EXT00017,G,9,0.7,PowerSoil-Pro-HT,LIB-MJ108-G9,LIB00017,G,0.08,ILLUMINA-DNA-PREP.V2,LIB-MJ108-G9_02
MFD02823,EXT-MJ099-H1,EXT-MJ099-H1,EXT00017,H,1,0.33,PowerSoil-Pro-HT,LIB-MJ108-H1,LIB00017,H,-0.08,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H1_02
MFD02830,EXT-MJ099-H10,EXT-MJ099-H10,EXT00017,H,10,7.6,PowerSoil-Pro-HT,LIB-MJ108-H10,LIB00017,H,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H10_02
MFD02293,EXT-MJ099-H11,EXT-MJ099-H11,EXT00017,H,11,0.42,PowerSoil-Pro-HT,LIB-MJ108-H11,LIB00017,H,0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H11_02
MFD01204,EXT-MJ099-H2,EXT-MJ099-H2,EXT00017,H,2,7.89,PowerSoil-Pro-HT,LIB-MJ108-H2,LIB00017,H,0.05,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H2_02
MFD01300,EXT-MJ099-H3,EXT-MJ099-H3,EXT00017,H,3,29.07,PowerSoil-Pro-HT,LIB-MJ108-H3,LIB00017,H,0.4,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H3_02
MFD02280,EXT-MJ099-H4,EXT-MJ099-H4,EXT00017,H,4,10.95,PowerSoil-Pro-HT,LIB-MJ108-H4,LIB00017,H,0.2,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H4_02
MFD01301,EXT-MJ099-H5,EXT-MJ099-H5,EXT00017,H,5,4.04,PowerSoil-Pro-HT,LIB-MJ108-H5,LIB00017,H,0.11,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H5_02
MFD00582,EXT-MJ099-H6,EXT-MJ099-H6,EXT00017,H,6,12.27,PowerSoil-Pro-HT,LIB-MJ108-H6,LIB00017,H,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H6_02
MFD03845,EXT-MJ099-H7,EXT-MJ099-H7,EXT00017,H,7,27.13,PowerSoil-Pro-HT,LIB-MJ108-H7,LIB00017,H,0.4,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H7_02
MFD02791,EXT-MJ099-H8,EXT-MJ099-H8,EXT00017,H,8,30.44,PowerSoil-Pro-HT,LIB-MJ108-H8,LIB00017,H,0.49,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H8_02
MFD02310,EXT-MJ099-H9,EXT-MJ099-H9,EXT00017,H,9,0.3,PowerSoil-Pro-HT,LIB-MJ108-H9,LIB00017,H,0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ108-H9_02
MFD02782,EXT-MJ100-A1,EXT-MJ100-A1,EXT00018,A,1,1.38,PowerSoil-Pro-HT,LIB-MJ110-A1,LIB00018,A,-0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A1_04
MFD01177,EXT-MJ100-A10,EXT-MJ100-A10,EXT00018,A,10,10.56,PowerSoil-Pro-HT,LIB-MJ110-A10,LIB00018,A,0.06,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A10_04
MFD02816,EXT-MJ100-A11,EXT-MJ100-A11,EXT00018,A,11,0.61,PowerSoil-Pro-HT,LIB-MJ110-A11,LIB00018,A,-0.05,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A11_04
MFD03101,EXT-MJ100-A12,EXT-MJ100-A12,EXT00018,A,12,23.87,PowerSoil-Pro-HT,LIB-MJ110-A12,LIB00018,A,-0.05,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A12_04
MFD02869,EXT-MJ100-A2,EXT-MJ100-A2,EXT00018,A,2,28.17,PowerSoil-Pro-HT,LIB-MJ110-A2,LIB00018,A,0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A2_04
MFD01151,EXT-MJ100-A3,EXT-MJ100-A3,EXT00018,A,3,0.2,PowerSoil-Pro-HT,LIB-MJ110-A3,LIB00018,A,-0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A3_04
MFD01565,EXT-MJ100-A4,EXT-MJ100-A4,EXT00018,A,4,2.54,PowerSoil-Pro-HT,LIB-MJ110-A4,LIB00018,A,0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A4_04
MFD02781,EXT-MJ100-A5,EXT-MJ100-A5,EXT00018,A,5,3.06,PowerSoil-Pro-HT,LIB-MJ110-A5,LIB00018,A,0,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A5_04
MFD01327,EXT-MJ100-A6,EXT-MJ100-A6,EXT00018,A,6,7.78,PowerSoil-Pro-HT,LIB-MJ110-A6,LIB00018,A,-0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A6_04
MFD01302,EXT-MJ100-A7,EXT-MJ100-A7,EXT00018,A,7,1.6,PowerSoil-Pro-HT,LIB-MJ110-A7,LIB00018,A,0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A7_04
MFD02277,EXT-MJ100-A8,EXT-MJ100-A8,EXT00018,A,8,24.29,PowerSoil-Pro-HT,LIB-MJ110-A8,LIB00018,A,0.27,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A8_04
MFD00587,EXT-MJ100-A9,EXT-MJ100-A9,EXT00018,A,9,20.29,PowerSoil-Pro-HT,LIB-MJ110-A9,LIB00018,A,0.3,ILLUMINA-DNA-PREP.V2,LIB-MJ110-A9_04
MFD00937,EXT-MJ100-B1,EXT-MJ100-B1,EXT00018,B,1,13.74,PowerSoil-Pro-HT,LIB-MJ110-B1,LIB00018,B,-0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B1_04
MFD02860,EXT-MJ100-B10,EXT-MJ100-B10,EXT00018,B,10,4.88,PowerSoil-Pro-HT,LIB-MJ110-B10,LIB00018,B,0.03,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B10_04
MFD01242,EXT-MJ100-B11,EXT-MJ100-B11,EXT00018,B,11,25.51,PowerSoil-Pro-HT,LIB-MJ110-B11,LIB00018,B,0.23,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B11_04
MFD01060,EXT-MJ100-B12,EXT-MJ100-B12,EXT00018,B,12,6.74,PowerSoil-Pro-HT,LIB-MJ110-B12,LIB00018,B,-0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B12_04
MFD00728,EXT-MJ100-B2,EXT-MJ100-B2,EXT00018,B,2,45.5,PowerSoil-Pro-HT,LIB-MJ110-B2,LIB00018,B,0.25,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B2_04
MFD01067,EXT-MJ100-B3,EXT-MJ100-B3,EXT00018,B,3,2.79,PowerSoil-Pro-HT,LIB-MJ110-B3,LIB00018,B,-0.12,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B3_04
MFD00632,EXT-MJ100-B4,EXT-MJ100-B4,EXT00018,B,4,18.85,PowerSoil-Pro-HT,LIB-MJ110-B4,LIB00018,B,-0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B4_04
MFD00888,EXT-MJ100-B5,EXT-MJ100-B5,EXT00018,B,5,14.04,PowerSoil-Pro-HT,LIB-MJ110-B5,LIB00018,B,0.35,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B5_04
MFD02735,EXT-MJ100-B6,EXT-MJ100-B6,EXT00018,B,6,7.48,PowerSoil-Pro-HT,LIB-MJ110-B6,LIB00018,B,0.17,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B6_04
MFD02171,EXT-MJ100-B7,EXT-MJ100-B7,EXT00018,B,7,12.57,PowerSoil-Pro-HT,LIB-MJ110-B7,LIB00018,B,0.1,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B7_04
MFD02755,EXT-MJ100-B8,EXT-MJ100-B8,EXT00018,B,8,0.62,PowerSoil-Pro-HT,LIB-MJ110-B8,LIB00018,B,-0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B8_04
MFD03842,EXT-MJ100-B9,EXT-MJ100-B9,EXT00018,B,9,10.15,PowerSoil-Pro-HT,LIB-MJ110-B9,LIB00018,B,0.2,ILLUMINA-DNA-PREP.V2,LIB-MJ110-B9_04
MFD00989,EXT-MJ100-C1,EXT-MJ100-C1,EXT00018,C,1,1.01,PowerSoil-Pro-HT,LIB-MJ110-C1,LIB00018,C,-0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C1_04
MFD02295,EXT-MJ100-C11,EXT-MJ100-C11,EXT00018,C,11,16.39,PowerSoil-Pro-HT,LIB-MJ110-C11,LIB00018,C,0.28,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C11_04
MFD02785,EXT-MJ100-C12,EXT-MJ100-C12,EXT00018,C,12,21.22,PowerSoil-Pro-HT,LIB-MJ110-C12,LIB00018,C,0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C12_04
MFD01284,EXT-MJ100-C2,EXT-MJ100-C2,EXT00018,C,2,11.31,PowerSoil-Pro-HT,LIB-MJ110-C2,LIB00018,C,0.08,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C2_04
MFD02784,EXT-MJ100-C4,EXT-MJ100-C4,EXT00018,C,4,2.57,PowerSoil-Pro-HT,LIB-MJ110-C4,LIB00018,C,-0.01,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C4_04
MFD01191,EXT-MJ100-C5,EXT-MJ100-C5,EXT00018,C,5,0.66,PowerSoil-Pro-HT,LIB-MJ110-C5,LIB00018,C,-0.02,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C5_04
MFD02054,EXT-MJ100-C6,EXT-MJ100-C6,EXT00018,C,6,40.38,PowerSoil-Pro-HT,LIB-MJ110-C6,LIB00018,C,0.65,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C6_04
MFD02817,EXT-MJ100-C7,EXT-MJ100-C7,EXT00018,C,7,6.63,PowerSoil-Pro-HT,LIB-MJ110-C7,LIB00018,C,0.24,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C7_04
MFD02764,EXT-MJ100-C8,EXT-MJ100-C8,EXT00018,C,8,0.84,PowerSoil-Pro-HT,LIB-MJ110-C8,LIB00018,C,-0.11,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C8_04
MFD00956,EXT-MJ100-C9,EXT-MJ100-C9,EXT00018,C,9,10.28,PowerSoil-Pro-HT,LIB-MJ110-C9,LIB00018,C,0.28,ILLUMINA-DNA-PREP.V2,LIB-MJ110-C9_04
MFD02287,EXT-MJ100-D1,EXT-MJ100-D1,EXT00018,D,1,35.1,PowerSoil-Pro-HT,LIB-MJ110-D1,LIB00018,D,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ110-D1_04
MFD00910,EXT-MJ100-D10,EXT-MJ100-D10,EXT00018,D,10,11.75,PowerSoil-Pro-HT,LIB-MJ110-D10,LIB00018,D,0.07,ILLUMINA-DNA-PREP.V2,LIB-MJ110-D10_04
MFD01069,EXT-MJ100-D11,EXT-MJ100-D11,EXT00018,D,11,3.69,PowerSoil-Pro-HT,LIB-MJ110-D11,LIB00018,D,0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ110-D11_04
MFD03804,EXT-MJ100-D2,EXT-MJ100-D2,EXT00018,D,2,2.37,PowerSoil-Pro-HT,LIB-MJ110-D2,LIB00018,D,-0.04,ILLUMINA-DNA-PREP.V2,LIB-MJ110-D2_04
MFD02787,EXT-MJ100-D3,EXT-MJ100-D3,EXT00018,D,3,5.42,PowerSoil-Pro-HT,LIB-MJ110-D3,LIB00018,D,0.13,ILLUMINA-DNA-PREP.V2,LIB-MJ110-D3_04
