fieldsample_barcode	BioProject	BioSample	Metagenome	Metagenome_assembly	EUK_operon	BAC_operon	UMI_16SrRNA
MFD08808	PRJNA1071982	SAMN39872868	SRX23709623	MFD08808.fa			
MFD08809	PRJNA1071982	SAMN39872869	SRX23709625	MFD08809.fa			
MFD08810	PRJNA1071982	SAMN39872870	SRX23709626	MFD08810.fa			
MFD08811	PRJNA1071982	SAMN39872871	SRX23709627	MFD08811.fa			
MFD08812	PRJNA1071982	SAMN39872872	SRX23709628	MFD08812.fa			
MFD08813	PRJNA1071982	SAMN39872873	SRX23709629	MFD08813.fa			
MFD08814	PRJNA1071982	SAMN39872874	SRX23709630	MFD08814.fa			
MFD08815	PRJNA1071982	SAMN39872875	SRX23709631	MFD08815.fa			
MFD08816	PRJNA1071982	SAMN39872876	SRX23709632	MFD08816.fa			
MFD08817	PRJNA1071982	SAMN39872877	SRX23709633	MFD08817.fa			
MFD08818	PRJNA1071982	SAMN39872878	SRX23709634	MFD08818.fa			
MFD08819	PRJNA1071982	SAMN39872879	SRX23709637	MFD08819.fa			
MFD08820	PRJNA1071982	SAMN39872880	SRX23709836	MFD08820.fa			
MFD08821	PRJNA1071982	SAMN39872881	SRX23709837	MFD08821.fa			
MFD08822	PRJNA1071982	SAMN39872882	SRX23709838	MFD08822.fa			
MFD08823	PRJNA1071982	SAMN39872883	SRX23709839	MFD08823.fa			
MFD08824	PRJNA1071982	SAMN39872884	SRX23709840	MFD08824.fa			
MFD08825	PRJNA1071982	SAMN39872885	SRX23709841	MFD08825.fa			
MFD08826	PRJNA1071982	SAMN39872886	SRX23709842	MFD08826.fa			
MFD08827	PRJNA1071982	SAMN39872887	SRX23709843	MFD08827.fa			
MFD08828	PRJNA1071982	SAMN39872888	SRX23709844	MFD08828.fa			
MFD08829	PRJNA1071982	SAMN39872889	SRX23709846	MFD08829.fa			
MFD08830	PRJNA1071982	SAMN39872890	SRX23709847	MFD08830.fa			
MFD08831	PRJNA1071982	SAMN39872891	SRX23709848	MFD08831.fa			
MFD08832	PRJNA1071982	SAMN39872892	SRX23709849	MFD08832.fa			
MFD08833	PRJNA1071982	SAMN39872893	SRX23709850	MFD08833.fa			
MFD08834	PRJNA1071982	SAMN39872894	SRX23709851	MFD08834.fa			
MFD08835	PRJNA1071982	SAMN39872895	SRX23709852	MFD08835.fa			
MFD08836	PRJNA1071982	SAMN39872896	SRX23709853	MFD08836.fa			
MFD08837	PRJNA1071982	SAMN39872897	SRX23709854	MFD08837.fa			
MFD08838	PRJNA1071982	SAMN39872898	SRX23709855	MFD08838.fa			
MFD08839	PRJNA1071982	SAMN39872899	SRX23709857	MFD08839.fa			
MFD08840	PRJNA1071982	SAMN39872900	SRX23709858	MFD08840.fa			
MFD08841	PRJNA1071982	SAMN39872901	SRX23709859	MFD08841.fa			
MFD08842	PRJNA1071982	SAMN39872902	SRX23709860	MFD08842.fa			
MFD08843	PRJNA1071982	SAMN39872903	SRX23709861	MFD08843.fa			
MFD08844	PRJNA1071982	SAMN39872904	SRX23709862	MFD08844.fa			
MFD08845	PRJNA1071982	SAMN39872905	SRX23709863	MFD08845.fa			
MFD08846	PRJNA1071982	SAMN39872906	SRX23709198	MFD08846.fa			
MFD08847	PRJNA1071982	SAMN39872907	SRX23709199	MFD08847.fa			
MFD08848	PRJNA1071982	SAMN39872908	SRX23709200	MFD08848.fa			
MFD08849	PRJNA1071982	SAMN39872909	SRX23709202	MFD08849.fa			
MFD08850	PRJNA1071982	SAMN39872910	SRX23709203	MFD08850.fa			
MFD08851	PRJNA1071982	SAMN39872911	SRX23709204	MFD08851.fa			
MFD08852	PRJNA1071982	SAMN39872912	SRX23709205	MFD08852.fa			
MFD08853	PRJNA1071982	SAMN39872913	SRX23709206	MFD08853.fa			
MFD08854	PRJNA1071982	SAMN39872914	SRX23709207	MFD08854.fa			
MFD08855	PRJNA1071982	SAMN39872915	SRX23709208	MFD08855.fa			
MFD08856	PRJNA1071982	SAMN39872916	SRX23709209	MFD08856.fa			
MFD08857	PRJNA1071982	SAMN39872917	SRX23709210	MFD08857.fa			
MFD08858	PRJNA1071982	SAMN39872918	SRX23709211	MFD08858.fa			
MFD08859	PRJNA1071982	SAMN39872919	SRX23709213	MFD08859.fa			
MFD08860	PRJNA1071982	SAMN39872920	SRX23709214	MFD08860.fa			
MFD08861	PRJNA1071982	SAMN39872921	SRX23709215	MFD08861.fa			
MFD08862	PRJNA1071982	SAMN39872922	SRX23709216	MFD08862.fa			
MFD08863	PRJNA1071982	SAMN39872923	SRX23709217	MFD08863.fa			
MFD08864	PRJNA1071982	SAMN39872924	SRX23709218	MFD08864.fa			
MFD08865	PRJNA1071982	SAMN39872925	SRX23709219	MFD08865.fa			
MFD08866	PRJNA1071982	SAMN39872926	SRX23709220	MFD08866.fa			
MFD08867	PRJNA1071982	SAMN39872927	SRX23709221	MFD08867.fa			
MFD08868	PRJNA1071982	SAMN39872928	SRX23709222	MFD08868.fa			
MFD08869	PRJNA1071982	SAMN39872929	SRX23709224	MFD08869.fa			
MFD08870	PRJNA1071982	SAMN39872930	SRX23709225	MFD08870.fa			
MFD08871	PRJNA1071982	SAMN39872931	SRX23709443	MFD08871.fa			
MFD08872	PRJNA1071982	SAMN39872932	SRX23709444	MFD08872.fa			
MFD08873	PRJNA1071982	SAMN39872933	SRX23709445	MFD08873.fa			
MFD08874	PRJNA1071982	SAMN39872934	SRX23709446	MFD08874.fa			
MFD08875	PRJNA1071982	SAMN39872935	SRX23709447	MFD08875.fa			
MFD08876	PRJNA1071982	SAMN39872936	SRX23709448	MFD08876.fa			
MFD08877	PRJNA1071982	SAMN39872937	SRX23709449	MFD08877.fa			
MFD08878	PRJNA1071982	SAMN39872938	SRX23709450	MFD08878.fa			
MFD08879	PRJNA1071982	SAMN39872939	SRX23709452	MFD08879.fa			
MFD08880	PRJNA1071982	SAMN39872940	SRX23709453	MFD08880.fa			
MFD08881	PRJNA1071982	SAMN39872941	SRX23709454	MFD08881.fa			
