fieldsample_barcode	BioProject	BioSample	Metagenome	Metagenome_assembly	EUK_operon	BAC_operon	UMI_16SrRNA
MFD00001	PRJNA1071982	SAMN39864933	SRX23599598	MFD00001.fa			
MFD00002	PRJNA1071982	SAMN39864934	SRX23599599	MFD00002.fa			
MFD00003	PRJNA1071982	SAMN39864935	SRX23600276	MFD00003.fa			
MFD00004	PRJNA1071982	SAMN39864936	SRX23599633	MFD00004.fa			
MFD00005	PRJNA1071982	SAMN39864937	SRX23600014	MFD00005.fa			
MFD00006	PRJNA1071982	SAMN39864938	SRX23600062	MFD00006.fa			
MFD00007	PRJNA1071982	SAMN39864939	SRX23599812	MFD00007.fa			
MFD00008	PRJNA1071982	SAMN39864940	SRX23600376	MFD00008.fa			
MFD00009	PRJNA1071982	SAMN39864941	SRX23600401	MFD00009.fa			
MFD00010	PRJNA1071982	SAMN39864942	SRX23600212	MFD00010.fa			
MFD00011	PRJNA1071982	SAMN39864943	SRX23599600	MFD00011.fa			
MFD00012	PRJNA1071982	SAMN39864944	SRX23599611	MFD00012.fa			
MFD00013	PRJNA1071982	SAMN39864945	SRX23599622	MFD00013.fa			
MFD00014	PRJNA1071982	SAMN39864946	SRX23600231	MFD00014.fa			
MFD00015	PRJNA1071982	SAMN39864947	SRX23600242	MFD00015.fa			
MFD00016	PRJNA1071982	SAMN39864948	SRX23600253	MFD00016.fa			
MFD00017	PRJNA1071982	SAMN39864949	SRX23600447	MFD00017.fa			
MFD00018	PRJNA1071982	SAMN39864950	SRX23600458	MFD00018.fa			
MFD00019	PRJNA1071982	SAMN39864951	SRX23600469	MFD00019.fa			
MFD00020	PRJNA1071982	SAMN39864952	SRX23600265	MFD00020.fa			
MFD00021	PRJNA1071982	SAMN39864953	SRX23600277	MFD00021.fa			
MFD00022	PRJNA1071982	SAMN39864954	SRX23600288	MFD00022.fa			
MFD00023	PRJNA1071982	SAMN39864955	SRX23600482	MFD00023.fa			
MFD00024	PRJNA1071982	SAMN39864956	SRX23599900	MFD00024.fa			
MFD00025	PRJNA1071982	SAMN39864957	SRX23600290	MFD00025.fa			
MFD00026	PRJNA1071982	SAMN39864958	SRX23600301	MFD00026.fa			
MFD00027	PRJNA1071982	SAMN39864959	SRX23600312	MFD00027.fa			
MFD00028	PRJNA1071982	SAMN39864960	SRX23599912	MFD00028.fa			
MFD00029	PRJNA1071982	SAMN39864961	SRX23599923	MFD00029.fa			
MFD00030	PRJNA1071982	SAMN39864962	SRX23599934	MFD00030.fa			
MFD00031	PRJNA1071982	SAMN39864963	SRX23599634	MFD00031.fa			
MFD00032	PRJNA1071982	SAMN39864964	SRX23599645	MFD00032.fa			
MFD00033	PRJNA1071982	SAMN39864965	SRX23599656	MFD00033.fa			
MFD00034	PRJNA1071982	SAMN39864966	SRX23600326	MFD00034.fa			
MFD00035	PRJNA1071982	SAMN39864967	SRX23600337	MFD00035.fa			
MFD00036	PRJNA1071982	SAMN39864968	SRX23600348	MFD00036.fa			
MFD00037	PRJNA1071982	SAMN39864969	SRX23599668	MFD00037.fa			
MFD00038	PRJNA1071982	SAMN39864970	SRX23599679	MFD00038.fa			
MFD00039	PRJNA1071982	SAMN39864971	SRX23599690	MFD00039.fa			
MFD00040	PRJNA1071982	SAMN39864972	SRX23600003	MFD00040.fa			
MFD00041	PRJNA1071982	SAMN39864973	SRX23600015	MFD00041.fa			
MFD00042	PRJNA1071982	SAMN39864974	SRX23600026	MFD00042.fa			
MFD00044	PRJNA1071982	SAMN39864975	SRX23599703	MFD00044.fa			
MFD00045	PRJNA1071982	SAMN39864976	SRX23599714	MFD00045.fa			
MFD00046	PRJNA1071982	SAMN39864977	SRX23600027	MFD00046.fa			
MFD00048	PRJNA1071982	SAMN39864978	SRX23600038	MFD00048.fa			
MFD00049	PRJNA1071982	SAMN39864979	SRX23600049	MFD00049.fa			
MFD00050	PRJNA1071982	SAMN39864980	SRX23599726	MFD00050.fa			
MFD00051	PRJNA1071982	SAMN39864981	SRX23599737	MFD00051.fa			
MFD00052	PRJNA1071982	SAMN39864982	SRX23599748	MFD00052.fa			
MFD00053	PRJNA1071982	SAMN39864983	SRX23600063	MFD00053.fa			
MFD00054	PRJNA1071982	SAMN39864984	SRX23600074	MFD00054.fa			
MFD00055	PRJNA1071982	SAMN39864985	SRX23600085	MFD00055.fa			
MFD00056	PRJNA1071982	SAMN39864986	SRX23599762	MFD00056.fa			
MFD00057	PRJNA1071982	SAMN39864987	SRX23599773	MFD00057.fa			
MFD00058	PRJNA1071982	SAMN39864988	SRX23599784	MFD00058.fa			
MFD00059	PRJNA1071982	SAMN39864989	SRX23600100	MFD00059.fa			
MFD00060	PRJNA1071982	SAMN39864990	SRX23600111	MFD00060.fa			
MFD00061	PRJNA1071982	SAMN39864991	SRX23599790	MFD00061.fa			
MFD00062	PRJNA1071982	SAMN39864992	SRX23599801	MFD00062.fa			
MFD00063	PRJNA1071982	SAMN39864993	SRX23599813	MFD00063.fa			
MFD00064	PRJNA1071982	SAMN39864994	SRX23600127	MFD00064.fa			
MFD00065	PRJNA1071982	SAMN39864995	SRX23600138	MFD00065.fa			
MFD00066	PRJNA1071982	SAMN39864996	SRX23599817	MFD00066.fa			
MFD00067	PRJNA1071982	SAMN39864997	SRX23599828	MFD00067.fa			
MFD00068	PRJNA1071982	SAMN39864998	SRX23599839	MFD00068.fa			
MFD00069	PRJNA1071982	SAMN39864999	SRX23600152	MFD00069.fa			
MFD00070	PRJNA1071982	SAMN39865000	SRX23600163	MFD00070.fa			
MFD00071	PRJNA1071982	SAMN39865001	SRX23600354	MFD00071.fa			
MFD00072	PRJNA1071982	SAMN39865002	SRX23600365	MFD00072.fa			
MFD00073	PRJNA1071982	SAMN39865003	SRX23600377	MFD00073.fa			
MFD00074	PRJNA1071982	SAMN39865004	SRX23599850	MFD00074.fa			
MFD00075	PRJNA1071982	SAMN39865005	SRX23599861	MFD00075.fa			
MFD00076	PRJNA1071982	SAMN39865006	SRX23599872	MFD00076.fa			
MFD00077	PRJNA1071982	SAMN39865007	SRX23599952	MFD00077.fa			
MFD00078	PRJNA1071982	SAMN39865008	SRX23599963	MFD00078.fa			
MFD00079	PRJNA1071982	SAMN39865009	SRX23600177	MFD00079.fa			
MFD00080	PRJNA1071982	SAMN39865010	SRX23600188	MFD00080.fa			
MFD00081	PRJNA1071982	SAMN39865011	SRX23600496	MFD00081.fa			
MFD00082	PRJNA1071982	SAMN39865012	SRX23600390	MFD00082.fa			
MFD00083	PRJNA1071982	SAMN39865013	SRX23600402	MFD00083.fa			
MFD00084	PRJNA1071982	SAMN39865014	SRX23599875	MFD00084.fa			
MFD00085	PRJNA1071982	SAMN39865015	SRX23599886	MFD00085.fa			
MFD00086	PRJNA1071982	SAMN39865016	SRX23600193	MFD00086.fa			
MFD00087	PRJNA1071982	SAMN39865017	SRX23600504	MFD00087.fa			
MFD00088	PRJNA1071982	SAMN39865018	SRX23600515	MFD00088.fa			
MFD00089	PRJNA1071982	SAMN39865019	SRX23600526	MFD00089.fa			
MFD00090	PRJNA1071982	SAMN39865020	SRX23600420	MFD00090.fa			
MFD00091	PRJNA1071982	SAMN39865021	SRX23600431	MFD00091.fa			
MFD00092	PRJNA1071982	SAMN39865022	SRX23600201	MFD00092.fa			
MFD00093	PRJNA1071982	SAMN39865023	SRX23600213	MFD00093.fa			
MFD00094	PRJNA1071982	SAMN39865024	SRX23600224	MFD00094.fa			
MFD00095	PRJNA1071982	SAMN39865025	SRX23599977	MFD00095.fa			
MFD00096	PRJNA1071982	SAMN39865026	SRX23599988	MFD00096.fa			
MFD00097	PRJNA1071982	SAMN39865027	SRX23599989	MFD00097.fa	SRX23627392	SRX23627391	SRX23662427
MFD00098	PRJNA1071982	SAMN39865028	SRX23599990	MFD00098.fa			
MFD00099	PRJNA1071982	SAMN39865029	SRX23599991	MFD00099.fa			
MFD00100	PRJNA1071982	SAMN39865030	SRX23599992	MFD00100.fa			
MFD00101	PRJNA1071982	SAMN39865031	SRX23599993	MFD00101.fa			
MFD00102	PRJNA1071982	SAMN39865032	SRX23599994	MFD00102.fa			
MFD00103	PRJNA1071982	SAMN39865033	SRX23599601	MFD00103.fa			
MFD00104	PRJNA1071982	SAMN39865034	SRX23599602	MFD00104.fa			
MFD00105	PRJNA1071982	SAMN39865035	SRX23599603	MFD00105.fa			
MFD00106	PRJNA1071982	SAMN39865036	SRX23599604	MFD00106.fa	SRX23627454	SRX23627891	SRX23662428
MFD00107	PRJNA1071982	SAMN39865037	SRX23599605	MFD00107.fa			
MFD00108	PRJNA1071982	SAMN39865038	SRX23599606	MFD00108.fa			
MFD00109	PRJNA1071982	SAMN39865039	SRX23599607	MFD00109.fa			
MFD00110	PRJNA1071982	SAMN39865040	SRX23599608	MFD00110.fa			
MFD00111	PRJNA1071982	SAMN39865041	SRX23599609	MFD00111.fa			
MFD00112	PRJNA1071982	SAMN39865042	SRX23599610	MFD00112.fa			
MFD00113	PRJNA1071982	SAMN39865043	SRX23599612	MFD00113.fa			
MFD00114	PRJNA1071982	SAMN39865044	SRX23599613	MFD00114.fa			
MFD00115	PRJNA1071982	SAMN39865045	SRX23599614	MFD00115.fa			
MFD00116	PRJNA1071982	SAMN39865046	SRX23599615	MFD00116.fa	SRX23627484	SRX23627729	SRX23662599
MFD00117	PRJNA1071982	SAMN39865047	SRX23599616	MFD00117.fa			
MFD00118	PRJNA1071982	SAMN39865048	SRX23599617	MFD00118.fa			
MFD00119	PRJNA1071982	SAMN39865049	SRX23599618	MFD00119.fa			
MFD00120	PRJNA1071982	SAMN39865050	SRX23599619	MFD00120.fa			
MFD00121	PRJNA1071982	SAMN39865051	SRX23599620	MFD00121.fa			
MFD00122	PRJNA1071982	SAMN39865052	SRX23599621	MFD00122.fa			
MFD00123	PRJNA1071982	SAMN39865053	SRX23599623	MFD00123.fa			
MFD00124	PRJNA1071982	SAMN39865054	SRX23599624	MFD00124.fa			
MFD00125	PRJNA1071982	SAMN39865055	SRX23599625	MFD00125.fa			
MFD00126	PRJNA1071982	SAMN39865056	SRX23599626	MFD00126.fa			
MFD00127	PRJNA1071982	SAMN39865057	SRX23599627	MFD00127.fa			
MFD00128	PRJNA1071982	SAMN39865058	SRX23599628	MFD00128.fa			
MFD00129	PRJNA1071982	SAMN39865059	SRX23599629	MFD00129.fa			
MFD00130	PRJNA1071982	SAMN39865060	SRX23600228	MFD00130.fa			
MFD00131	PRJNA1071982	SAMN39865061	SRX23600229	MFD00131.fa			
MFD00132	PRJNA1071982	SAMN39865062	SRX23600230	MFD00132.fa			
MFD00133	PRJNA1071982	SAMN39865063	SRX23600232	MFD00133.fa			
MFD00134	PRJNA1071982	SAMN39865064	SRX23600233	MFD00134.fa			
MFD00135	PRJNA1071982	SAMN39865065	SRX23600234	MFD00135.fa			
MFD00136	PRJNA1071982	SAMN39865066	SRX23600235	MFD00136.fa	SRX23627998	SRX23628207	SRX23662678
MFD00137	PRJNA1071982	SAMN39865067	SRX23600236	MFD00137.fa			
MFD00138	PRJNA1071982	SAMN39865068	SRX23600237	MFD00138.fa			
MFD00141	PRJNA1071982	SAMN39865069	SRX23600238	MFD00141.fa			
MFD00142	PRJNA1071982	SAMN39865070	SRX23600239	MFD00142.fa			
MFD00143	PRJNA1071982	SAMN39865071	SRX23600240	MFD00143.fa			
MFD00144	PRJNA1071982	SAMN39865072	SRX23600241	MFD00144.fa			
MFD00145	PRJNA1071982	SAMN39865073	SRX23600243	MFD00145.fa			
MFD00146	PRJNA1071982	SAMN39865074	SRX23600244	MFD00146.fa	SRX23627868	SRX23628269	SRX23662693
MFD00147	PRJNA1071982	SAMN39865075	SRX23600245	MFD00147.fa			
MFD00148	PRJNA1071982	SAMN39865076	SRX23600246	MFD00148.fa			
MFD00149	PRJNA1071982	SAMN39865077	SRX23600247	MFD00149.fa			
MFD00150	PRJNA1071982	SAMN39865078	SRX23600248	MFD00150.fa			
MFD00151	PRJNA1071982	SAMN39865079	SRX23600249	MFD00151.fa			
MFD00152	PRJNA1071982	SAMN39865080	SRX23600250	MFD00152.fa			
MFD00153	PRJNA1071982	SAMN39865081	SRX23600251	MFD00153.fa			
MFD00154	PRJNA1071982	SAMN39865082	SRX23600252	MFD00154.fa			
MFD00155	PRJNA1071982	SAMN39865083	SRX23600254	MFD00155.fa			
MFD00156	PRJNA1071982	SAMN39865084	SRX23600255	MFD00156.fa			
MFD00157	PRJNA1071982	SAMN39865085	SRX23600256	MFD00157.fa			
MFD00158	PRJNA1071982	SAMN39865086	SRX23600440	MFD00158.fa			
MFD00159	PRJNA1071982	SAMN39865087	SRX23600441	MFD00159.fa			
MFD00160	PRJNA1071982	SAMN39865088	SRX23600442	MFD00160.fa			
MFD00161	PRJNA1071982	SAMN39865089	SRX23600443	MFD00161.fa			
MFD00162	PRJNA1071982	SAMN39865090	SRX23600444	MFD00162.fa			
MFD00163	PRJNA1071982	SAMN39865091	SRX23600445	MFD00163.fa			
MFD00164	PRJNA1071982	SAMN39865092	SRX23600446	MFD00164.fa			
MFD00165	PRJNA1071982	SAMN39865093	SRX23600448	MFD00165.fa			
MFD00166	PRJNA1071982	SAMN39865094	SRX23600449	MFD00166.fa			
MFD00198	PRJNA1071982	SAMN39865095	SRX23600450	MFD00198.fa			
MFD00199	PRJNA1071982	SAMN39865096	SRX23600451	MFD00199.fa			
MFD00200	PRJNA1071982	SAMN39865097	SRX23600452	MFD00200.fa			
MFD00201	PRJNA1071982	SAMN39865098	SRX23600453	MFD00201.fa			
MFD00202	PRJNA1071982	SAMN39865099	SRX23600454	MFD00202.fa	SRX23627404	SRX23627393	SRX23662748
MFD00203	PRJNA1071982	SAMN39865100	SRX23600455	MFD00203.fa			
MFD00204	PRJNA1071982	SAMN39865101	SRX23600456	MFD00204.fa			
MFD00205	PRJNA1071982	SAMN39865102	SRX23600457	MFD00205.fa			
MFD00206	PRJNA1071982	SAMN39865103	SRX23600459	MFD00206.fa			
MFD00207	PRJNA1071982	SAMN39865104	SRX23600460	MFD00207.fa			
MFD00208	PRJNA1071982	SAMN39865105	SRX23600461	MFD00208.fa			
MFD00209	PRJNA1071982	SAMN39865106	SRX23600462	MFD00209.fa			
MFD00210	PRJNA1071982	SAMN39865107	SRX23600463	MFD00210.fa			
MFD00211	PRJNA1071982	SAMN39865108	SRX23600464	MFD00211.fa			
MFD00212	PRJNA1071982	SAMN39865109	SRX23600465	MFD00212.fa			
MFD00215	PRJNA1071982	SAMN39865110	SRX23600466	MFD00215.fa			
MFD00216	PRJNA1071982	SAMN39865111	SRX23600467	MFD00216.fa			
MFD00217	PRJNA1071982	SAMN39865112	SRX23600468	MFD00217.fa			
MFD00220	PRJNA1071982	SAMN39865113	SRX23600470	MFD00220.fa			
MFD00221	PRJNA1071982	SAMN39865114	SRX23600471	MFD00221.fa			
MFD00222	PRJNA1071982	SAMN39865115	SRX23600257	MFD00222.fa			
MFD00223	PRJNA1071982	SAMN39865116	SRX23600258	MFD00223.fa			
MFD00224	PRJNA1071982	SAMN39865117	SRX23600259	MFD00224.fa			
MFD00226	PRJNA1071982	SAMN39865118	SRX23600260	MFD00226.fa			
MFD00227	PRJNA1071982	SAMN39865119	SRX23600261	MFD00227.fa			
MFD00246	PRJNA1071982	SAMN39865120	SRX23600262	MFD00246.fa	SRX23627558	SRX23627415	SRX23662759
MFD00247	PRJNA1071982	SAMN39865121	SRX23600263	MFD00247.fa	SRX23627580	SRX23627569	SRX23662770
MFD00248	PRJNA1071982	SAMN39865122	SRX23600264	MFD00248.fa	SRX23627602	SRX23627591	SRX23662529
MFD00249	PRJNA1071982	SAMN39865123	SRX23600266	MFD00249.fa	SRX23627880	SRX23627613	SRX23662540
MFD00250	PRJNA1071982	SAMN39865124	SRX23600267	MFD00250.fa	SRX23627903	SRX23627892	SRX23662429
MFD00251	PRJNA1071982	SAMN39865125	SRX23600268	MFD00251.fa	SRX23628117	SRX23628106	SRX23662440
MFD00252	PRJNA1071982	SAMN39865126	SRX23600269	MFD00252.fa	SRX23627627	SRX23628128	SRX23662451
MFD00253	PRJNA1071982	SAMN39865127	SRX23600270	MFD00253.fa	SRX23627649	SRX23627638	SRX23662554
MFD00254	PRJNA1071982	SAMN39865128	SRX23600271	MFD00254.fa	SRX23627443	SRX23627432	SRX23662565
MFD00255	PRJNA1071982	SAMN39865129	SRX23600272	MFD00255.fa	SRX23627662	SRX23627651	SRX23662576
MFD00256	PRJNA1071982	SAMN39865130	SRX23600273	MFD00256.fa	SRX23628132	SRX23627673	SRX23662463
MFD00257	PRJNA1071982	SAMN39865131	SRX23600274	MFD00257.fa	SRX23628154	SRX23628143	SRX23662474
MFD00258	PRJNA1071982	SAMN39865132	SRX23600275	MFD00258.fa	SRX23627696	SRX23627685	SRX23662485
MFD00259	PRJNA1071982	SAMN39865133	SRX23600278	MFD00259.fa	SRX23627718	SRX23627707	SRX23662588
MFD00260	PRJNA1071982	SAMN39865134	SRX23600279	MFD00260.fa	SRX23627741	SRX23627730	SRX23662600
MFD00261	PRJNA1071982	SAMN39865135	SRX23600280	MFD00261.fa	SRX23627923	SRX23627912	SRX23662611
MFD00262	PRJNA1071982	SAMN39865136	SRX23600281	MFD00262.fa	SRX23627753	SRX23627934	SRX23662622
MFD00263	PRJNA1071982	SAMN39865137	SRX23600282	MFD00263.fa	SRX23627775	SRX23627764	SRX23662633
MFD00264	PRJNA1071982	SAMN39865138	SRX23600283	MFD00264.fa	SRX23627473	SRX23627462	SRX23662644
MFD00265	PRJNA1071982	SAMN39865139	SRX23600284	MFD00265.fa	SRX23628172	SRX23627485	SRX23662719
MFD00266	PRJNA1071982	SAMN39865140	SRX23600285	MFD00266.fa	SRX23628194	SRX23628183	SRX23662730
MFD00267	PRJNA1071982	SAMN39865141	SRX23600286	MFD00267.fa	SRX23627960	SRX23627949	SRX23662741
MFD00268	PRJNA1071982	SAMN39865142	SRX23600287	MFD00268.fa	SRX23627498	SRX23627487	SRX23662656
MFD00269	PRJNA1071982	SAMN39865143	SRX23600472	MFD00269.fa	SRX23628196	SRX23627509	SRX23662667
MFD00270	PRJNA1071982	SAMN39865144	SRX23600473	MFD00270.fa	SRX23628219	SRX23628208	SRX23662775
MFD00271	PRJNA1071982	SAMN39865145	SRX23600474	MFD00271.fa	SRX23627793	SRX23627782	SRX23662786
MFD00272	PRJNA1071982	SAMN39865146	SRX23600475	MFD00272.fa	SRX23627815	SRX23627804	
MFD00273	PRJNA1071982	SAMN39865147	SRX23600476	MFD00273.fa	SRX23627837	SRX23627826	SRX23662797
MFD00274	PRJNA1071982	SAMN39865148	SRX23600477	MFD00274.fa	SRX23627987	SRX23627976	SRX23662808
MFD00275	PRJNA1071982	SAMN39865149	SRX23600478	MFD00275.fa	SRX23628010	SRX23627999	SRX23662819
MFD00276	PRJNA1071982	SAMN39865150	SRX23600479	MFD00276.fa	SRX23628032	SRX23628021	SRX23662830
MFD00277	PRJNA1071982	SAMN39865151	SRX23600480	MFD00277.fa	SRX23628246	SRX23628235	SRX23662493
MFD00278	PRJNA1071982	SAMN39865152	SRX23600481	MFD00278.fa	SRX23628044	SRX23628257	SRX23662504
MFD00279	PRJNA1071982	SAMN39865153	SRX23600483	MFD00279.fa	SRX23628066	SRX23628055	SRX23662515
MFD00280	PRJNA1071982	SAMN39865154	SRX23600484	MFD00280.fa	SRX23628281	SRX23628270	SRX23662682
MFD00281	PRJNA1071982	SAMN39865155	SRX23600485	MFD00281.fa	SRX23627531	SRX23627520	SRX23662694
MFD00282	PRJNA1071982	SAMN39865156	SRX23600486	MFD00282.fa	SRX23628069	SRX23627542	SRX23662705
MFD00283	PRJNA1071982	SAMN39865157	SRX23600487	MFD00283.fa	SRX23628091	SRX23628080	SRX23662708
MFD00284	PRJNA1071982	SAMN39865158	SRX23600488	MFD00284.fa	SRX23627857	SRX23627846	SRX23662709
MFD00285	PRJNA1071982	SAMN39865159	SRX23600489	MFD00285.fa	SRX23627870	SRX23627869	SRX23662710
MFD00286	PRJNA1071982	SAMN39865160	SRX23599897	MFD00286.fa	SRX23627872	SRX23627871	SRX23662743
MFD00287	PRJNA1071982	SAMN39865161	SRX23599898	MFD00287.fa	SRX23627874	SRX23627873	SRX23662744
MFD00288	PRJNA1071982	SAMN39865162	SRX23599899	MFD00288.fa	SRX23627552	SRX23627551	SRX23662745
MFD00289	PRJNA1071982	SAMN39865163	SRX23599901	MFD00289.fa	SRX23627554	SRX23627553	SRX23662746
MFD00290	PRJNA1071982	SAMN39865164	SRX23599902	MFD00290.fa	SRX23627395	SRX23627394	SRX23662747
MFD00291	PRJNA1071982	SAMN39865165	SRX23599903	MFD00291.fa	SRX23627397	SRX23627396	SRX23662749
MFD00292	PRJNA1071982	SAMN39865166	SRX23599904	MFD00292.fa	SRX23627399	SRX23627398	SRX23662750
MFD00293	PRJNA1071982	SAMN39865167	SRX23599905	MFD00293.fa	SRX23627401	SRX23627400	SRX23662751
MFD00294	PRJNA1071982	SAMN39865168	SRX23599906	MFD00294.fa	SRX23627403	SRX23627402	SRX23662752
MFD00295	PRJNA1071982	SAMN39865169	SRX23599907	MFD00295.fa	SRX23627406	SRX23627405	SRX23662753
MFD00296	PRJNA1071982	SAMN39865170	SRX23599908	MFD00296.fa	SRX23627408	SRX23627407	SRX23662754
MFD00297	PRJNA1071982	SAMN39865171	SRX23599909	MFD00297.fa	SRX23627410	SRX23627409	SRX23662755
MFD00298	PRJNA1071982	SAMN39865172	SRX23600289	MFD00298.fa	SRX23627412	SRX23627411	SRX23662756
MFD00299	PRJNA1071982	SAMN39865173	SRX23600291	MFD00299.fa	SRX23627414	SRX23627413	SRX23662757
MFD00300	PRJNA1071982	SAMN39865174	SRX23600292	MFD00300.fa	SRX23627417	SRX23627416	SRX23662758
MFD00301	PRJNA1071982	SAMN39865175	SRX23600293	MFD00301.fa	SRX23627419	SRX23627418	SRX23662760
MFD00302	PRJNA1071982	SAMN39865176	SRX23600294	MFD00302.fa	SRX23627421	SRX23627420	SRX23662761
MFD00303	PRJNA1071982	SAMN39865177	SRX23600295	MFD00303.fa	SRX23627555	SRX23627422	SRX23662762
MFD00304	PRJNA1071982	SAMN39865178	SRX23600296	MFD00304.fa	SRX23627557	SRX23627556	SRX23662763
MFD00305	PRJNA1071982	SAMN39865179	SRX23600297	MFD00305.fa	SRX23627560	SRX23627559	SRX23662764
MFD00306	PRJNA1071982	SAMN39865180	SRX23600298	MFD00306.fa	SRX23627562	SRX23627561	SRX23662765
MFD00307	PRJNA1071982	SAMN39865181	SRX23600299	MFD00307.fa	SRX23627564	SRX23627563	SRX23662766
MFD00308	PRJNA1071982	SAMN39865182	SRX23600300	MFD00308.fa	SRX23627566	SRX23627565	SRX23662767
MFD00309	PRJNA1071982	SAMN39865183	SRX23600302	MFD00309.fa	SRX23627568	SRX23627567	SRX23662768
MFD00310	PRJNA1071982	SAMN39865184	SRX23600303	MFD00310.fa	SRX23627571	SRX23627570	SRX23662769
MFD00311	PRJNA1071982	SAMN39865185	SRX23600304	MFD00311.fa	SRX23627573	SRX23627572	SRX23662771
MFD00312	PRJNA1071982	SAMN39865186	SRX23600305	MFD00312.fa	SRX23627575	SRX23627574	SRX23662772
MFD00313	PRJNA1071982	SAMN39865187	SRX23600306	MFD00313.fa	SRX23627577	SRX23627576	SRX23662773
MFD00314	PRJNA1071982	SAMN39865188	SRX23600307	MFD00314.fa	SRX23627579	SRX23627578	SRX23662774
MFD00315	PRJNA1071982	SAMN39865189	SRX23600308	MFD00315.fa	SRX23627582	SRX23627581	SRX23662523
MFD00316	PRJNA1071982	SAMN39865190	SRX23600309	MFD00316.fa	SRX23627584	SRX23627583	SRX23662524
MFD00317	PRJNA1071982	SAMN39865191	SRX23600310	MFD00317.fa	SRX23627586	SRX23627585	SRX23662525
MFD00318	PRJNA1071982	SAMN39865192	SRX23600311	MFD00318.fa	SRX23627588	SRX23627587	SRX23662526
MFD00319	PRJNA1071982	SAMN39865193	SRX23600313	MFD00319.fa	SRX23627590	SRX23627589	SRX23662527
MFD00320	PRJNA1071982	SAMN39865194	SRX23600314	MFD00320.fa	SRX23627593	SRX23627592	SRX23662528
MFD00321	PRJNA1071982	SAMN39865195	SRX23600315	MFD00321.fa	SRX23627595	SRX23627594	SRX23662530
MFD00322	PRJNA1071982	SAMN39865196	SRX23600316	MFD00322.fa	SRX23627597	SRX23627596	SRX23662531
MFD00323	PRJNA1071982	SAMN39865197	SRX23600317	MFD00323.fa	SRX23627599	SRX23627598	SRX23662532
MFD00324	PRJNA1071982	SAMN39865198	SRX23600318	MFD00324.fa	SRX23627601	SRX23627600	SRX23662533
MFD00325	PRJNA1071982	SAMN39865199	SRX23600319	MFD00325.fa	SRX23627604	SRX23627603	SRX23662534
MFD00326	PRJNA1071982	SAMN39865200	SRX23600320	MFD00326.fa	SRX23627606	SRX23627605	SRX23662535
MFD00327	PRJNA1071982	SAMN39865201	SRX23599910	MFD00327.fa	SRX23627608	SRX23627607	SRX23662536
MFD00328	PRJNA1071982	SAMN39865202	SRX23599911	MFD00328.fa	SRX23627610	SRX23627609	SRX23662537
MFD00329	PRJNA1071982	SAMN39865203	SRX23599913	MFD00329.fa	SRX23627612	SRX23627611	SRX23662538
MFD00330	PRJNA1071982	SAMN39865204	SRX23599914	MFD00330.fa	SRX23627615	SRX23627614	SRX23662539
MFD00331	PRJNA1071982	SAMN39865205	SRX23599915	MFD00331.fa	SRX23627617	SRX23627616	
MFD00332	PRJNA1071982	SAMN39865206	SRX23599916	MFD00332.fa	SRX23627875	SRX23627618	SRX23662541
MFD00333	PRJNA1071982	SAMN39865207	SRX23599917	MFD00333.fa	SRX23627877	SRX23627876	SRX23662542
MFD00334	PRJNA1071982	SAMN39865208	SRX23599918	MFD00334.fa	SRX23627879	SRX23627878	SRX23662543
MFD00335	PRJNA1071982	SAMN39865209	SRX23599919	MFD00335.fa	SRX23627882	SRX23627881	SRX23662544
MFD00336	PRJNA1071982	SAMN39865210	SRX23599920	MFD00336.fa	SRX23627884	SRX23627883	SRX23662545
MFD00337	PRJNA1071982	SAMN39865211	SRX23599921	MFD00337.fa	SRX23627886	SRX23627885	SRX23662546
MFD00338	PRJNA1071982	SAMN39865212	SRX23599922	MFD00338.fa	SRX23627888	SRX23627887	
MFD00339	PRJNA1071982	SAMN39865213	SRX23599924	MFD00339.fa	SRX23627890	SRX23627889	SRX23662547
MFD00340	PRJNA1071982	SAMN39865214	SRX23599925	MFD00340.fa	SRX23627894	SRX23627893	SRX23662548
MFD00341	PRJNA1071982	SAMN39865215	SRX23599926	MFD00341.fa	SRX23627896	SRX23627895	SRX23662549
MFD00342	PRJNA1071982	SAMN39865216	SRX23599927	MFD00342.fa	SRX23627898	SRX23627897	
MFD00343	PRJNA1071982	SAMN39865217	SRX23599928	MFD00343.fa	SRX23627900	SRX23627899	SRX23662550
MFD00344	PRJNA1071982	SAMN39865218	SRX23599929	MFD00344.fa	SRX23627902	SRX23627901	SRX23662430
MFD00345	PRJNA1071982	SAMN39865219	SRX23599930	MFD00345.fa	SRX23627905	SRX23627904	SRX23662431
MFD00346	PRJNA1071982	SAMN39865220	SRX23599931	MFD00346.fa	SRX23628099	SRX23627906	SRX23662432
MFD00347	PRJNA1071982	SAMN39865221	SRX23599932	MFD00347.fa	SRX23628101	SRX23628100	SRX23662433
MFD00348	PRJNA1071982	SAMN39865222	SRX23599933	MFD00348.fa	SRX23628103	SRX23628102	SRX23662434
MFD00349	PRJNA1071982	SAMN39865223	SRX23599935	MFD00349.fa	SRX23628105	SRX23628104	SRX23662435
MFD00350	PRJNA1071982	SAMN39865224	SRX23599936	MFD00350.fa	SRX23628108	SRX23628107	SRX23662436
MFD00351	PRJNA1071982	SAMN39865225	SRX23599937	MFD00351.fa	SRX23628110	SRX23628109	SRX23662437
