sample_name	accession
MFD01383	SAMN39866312
MFD01384	SAMN39866313
MFD01385	SAMN39866314
MFD01386	SAMN39866315
MFD01387	SAMN39866316
MFD01388	SAMN39866317
MFD01389	SAMN39866318
MFD01390	SAMN39866319
MFD01391	SAMN39866320
MFD01392	SAMN39866321
MFD01393	SAMN39866322
MFD01394	SAMN39866323
MFD01395	SAMN39866324
MFD01396	SAMN39866325
MFD01397	SAMN39866326
MFD01398	SAMN39866327
MFD01399	SAMN39866328
MFD01400	SAMN39866329
MFD01401	SAMN39866330
MFD01402	SAMN39866331
MFD01403	SAMN39866332
MFD01404	SAMN39866333
MFD01405	SAMN39866334
MFD01406	SAMN39866335
MFD01407	SAMN39866336
MFD01408	SAMN39866337
MFD01409	SAMN39866338
MFD01410	SAMN39866339
MFD01412	SAMN39866340
MFD01414	SAMN39866341
MFD01415	SAMN39866342
MFD01416	SAMN39866343
MFD01417	SAMN39866344
MFD01418	SAMN39866345
MFD01419	SAMN39866346
MFD01420	SAMN39866347
MFD01421	SAMN39866348
MFD01422	SAMN39866349
MFD01423	SAMN39866350
MFD01424	SAMN39866351
MFD01425	SAMN39866352
MFD01426	SAMN39866353
MFD01427	SAMN39866354
MFD01428	SAMN39866355
MFD01430	SAMN39866356
MFD01431	SAMN39866357
MFD01432	SAMN39866358
MFD01433	SAMN39866359
MFD01434	SAMN39866360
MFD01435	SAMN39866361
MFD01436	SAMN39866362
MFD01437	SAMN39866363
MFD01438	SAMN39866364
MFD01439	SAMN39866365
MFD01440	SAMN39866366
MFD01441	SAMN39866367
MFD01442	SAMN39866368
MFD01443	SAMN39866369
MFD01444	SAMN39866370
MFD01445	SAMN39866371
MFD01446	SAMN39866372
MFD01447	SAMN39866373
MFD01448	SAMN39866374
MFD01449	SAMN39866375
MFD01450	SAMN39866376
MFD01451	SAMN39866377
MFD01452	SAMN39866378
MFD01453	SAMN39866379
MFD01454	SAMN39866380
MFD01455	SAMN39866381
MFD01456	SAMN39866382
MFD01457	SAMN39866383
MFD01458	SAMN39866384
MFD01459	SAMN39866385
MFD01460	SAMN39866386
MFD01461	SAMN39866387
MFD01462	SAMN39866388
MFD01463	SAMN39866389
MFD01464	SAMN39866390
MFD01465	SAMN39866391
MFD01466	SAMN39866392
MFD01467	SAMN39866393
MFD01468	SAMN39866394
MFD01469	SAMN39866395
MFD01470	SAMN39866396
MFD01471	SAMN39866397
MFD01472	SAMN39866398
MFD01473	SAMN39866399
MFD01474	SAMN39866400
MFD01475	SAMN39866401
MFD01476	SAMN39866402
MFD01477	SAMN39866403
MFD01478	SAMN39866404
MFD01479	SAMN39866405
MFD01480	SAMN39866406
MFD01481	SAMN39866407
MFD01482	SAMN39866408
MFD01483	SAMN39866409
MFD01484	SAMN39866410
MFD01485	SAMN39866411
MFD01486	SAMN39866412
MFD01487	SAMN39866413
MFD01488	SAMN39866414
MFD01489	SAMN39866415
MFD01490	SAMN39866416
MFD01491	SAMN39866417
MFD01492	SAMN39866418
MFD01493	SAMN39866419
MFD01494	SAMN39866420
MFD01495	SAMN39866421
MFD01496	SAMN39866422
MFD01497	SAMN39866423
MFD01498	SAMN39866424
MFD01499	SAMN39866425
MFD01500	SAMN39866426
MFD01501	SAMN39866427
MFD01502	SAMN39866428
MFD01503	SAMN39866429
MFD01504	SAMN39866430
MFD01505	SAMN39866431
MFD01506	SAMN39866432
MFD01507	SAMN39866433
MFD01508	SAMN39866434
MFD01509	SAMN39866435
MFD01510	SAMN39866436
MFD01511	SAMN39866437
MFD01512	SAMN39866438
MFD01513	SAMN39866439
MFD01514	SAMN39866440
MFD01515	SAMN39866441
MFD01516	SAMN39866442
MFD01517	SAMN39866443
MFD01518	SAMN39866444
MFD01519	SAMN39866445
MFD01520	SAMN39866446
MFD01521	SAMN39866447
MFD01522	SAMN39866448
MFD01523	SAMN39866449
MFD01524	SAMN39866450
MFD01525	SAMN39866451
MFD01526	SAMN39866452
MFD01527	SAMN39866453
MFD01528	SAMN39866454
MFD01529	SAMN39866455
MFD01530	SAMN39866456
MFD01531	SAMN39866457
MFD01532	SAMN39866458
MFD01533	SAMN39866459
MFD01534	SAMN39866460
MFD01535	SAMN39866461
MFD01536	SAMN39866462
MFD01537	SAMN39866463
MFD01538	SAMN39866464
MFD01539	SAMN39866465
MFD01540	SAMN39866466
MFD01541	SAMN39866467
MFD01542	SAMN39866468
MFD01543	SAMN39866469
